topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4,generated_by,language
Food,Barudak sakola resep meuli bubur ayam Mang Ujang saméméh mimitina pelajaran,Mang Ujang ngajualan bubur ayam ngan dina dinten libur,Mang Ujang ngajualan bubur ayam di gigireun sakola,Bubur ayam Mang Ujang kasohor ngeunah,Mang Ujang nganggo bahan-bahan anu seger,Mang Ujang ngajualan bubur ayam ti tabuh genep enjing,claude,jv
Family Relationships,Tatangga Haji Asep ngidinan maké halaman imahna pikeun tempat nu ondangan,Haji Asep mesen gedong pikeun tempat nyunatan putrana,Haji Asep keur kagungan hajat nyunatan putrana,Haji Asep ngondang sadaya kulawarga sareng tatangga,Haji Asep ogé nyiapkeun hiburan pikeun nu ondangan,"Tapi, halaman imah Haji Asep teu cekap pikeun nampung nu ondangan",claude,jv
Pregnancy and Kids,Ibu Rani ngadidik putrana kalayan saé,Ibu Rani ngantep putrana ulin di luar,Putra Ibu Rani ayeuna umurna 3 taun,Manéhna kacida aktif sareng resep ulin di luar imah,Ibu Rani ngajaga putrana supados henteu dugi ka bahaya,Manéhna ogé ngawangun disiplin ka putrana,claude,jv
Traditional Games,Adi menang sabab nganggo egrang anu langkung panjang,Dani labuh kusabab henteu ati-ati,Adi sareng Dani ngalakukeun kaulinan egrang,Adi nganggo egrang anu panjangna sameter,Dani nganggo egrang anu langkungna pondok,Duanana silih balap egrang di lapang,claude,jv
Pregnancy and Kids,Upacara ngabungbang dilakukeun kalayan lancar,Upacara ngabungbang dilakukeun dina poé katilu saatos orok lahir,"Dina adat Sunda, aya upacara ngabungbang anu dilakukeun saatos orok lahir",Upacara ieu dilakukeun dina poé katujuh saatos orok lahir,"Dina upacara ieu, orok dipangkas rambutna tur dibéré ngaran",Kulawarga ngumpul pikeun ngarayakeun upacara ieu,claude,jv
Socio-religious aspect of life,Kagiatan babarengan jadi cara pikeun ngaraketkeun silaturahmi kulawarga,Dina jeung kulawargana ngan babarengan lamun aya acara husus wungkul,Keluarga Dina boga kabiasaan babarengan unggal dinten Minggu,Éta dinten téh dipaké pikeun kumpul jeung tukar pikiran,Dina jeung dulur-dulurna resep ngobrol ngeunaan rupa-rupa hal,Aya kalana maranéhna ogé ulin kaulinan bareng,claude,jv
Religious Holiday,Dina ngaraoskeun kabahagiaan sareng kacaketanan sareng kulawarga sareng tatanggana,Dina teu ngalaksanakeun silaturahmi saatos Lebaran,"Saatos sholat Ied, Dina ngalaksanakeun tradisi Lebaran nyaéta silaturahmi ka imah tatangga sareng kulawargana",Dina miang ti imah ka imah bari nyandak kué sareng kadaharan sanés,Dina ogé narima kué sareng kadaharan ti tatanggana,Silaturahmi ieu dilakukeun salila sababaraha poé saatos Lebaran,claude,jv
Pregnancy and Kids,Orok ogé kedah sering diberesihan puseurna supados teu kainfeksi,Orok teu kedah sering-sering dimandian margi tiasa masuk angin,"Dina ngurus orok, aya sababaraha hal anu kedah diperhatikeun",Salasahijina nyaéta kaberesihan orok,Orok kedah sering dimandian sareng diganti popokna,Ieu pikeun nyegah orok tina alergi sareng rupi-rupi panyakit kulit,claude,jv
Food,Lalaki éta mésér gado-gado,Lalaki éta teu jadi mésér sabab ragu kana halalnaA,Siti nuju ngajaga warung gado-gado indungna,Hiji lalaki datang mésér gado-gado,Lalaki éta naroskeun naha gado-gadona halal,Siti ngajawab yén gado-gadona halal,claude,jv
Fisheries and Trade,Pak Dadang masihan bonus sababaraha kilo deui ka Kang Asep,Pak Dadang ngurangan harga laukna,Kang Asep dagang lauk di pasar unggal dinten,"Anjeunna sering meuli lauk ti Pak Dadang, patani lauk","Dina hiji dinten, Kang Asep mésér lauk langkung seueur",Pak Dadang ngartos yén Kang Asep rék ngayakeun hajatan,claude,jv
Fisheries and Trade,Usaha Mang Ujang maju sareng tiasa nyukupi kaperluan kulawargana,Mang Ujang bangkrut kusabab teu aya anu ngagaleuh laukna,Mang Ujang gaduh usaha budi daya lauk,Anjeunna ngurus lauk kalayan saé,Lauk anu diproduksi ku Mang Ujang kacida alus kualitasna,Mang Ujang muka toko kanggo ngajual lauk-laukna,claude,jv
Wedding,Rani katingal endah sareng anggun dina dinten pernikahanna,Rani ngarasa teu nyaman nganggo baju nikah,Rani nganggo kebaya biru kanggo acara nikahna,Siga anu dipakena tina emas,Rani nganggo samping batik anu dipasangkeun dina awak,Rani nganggo konde sareng kembang melati,claude,jv
Religious Holiday,Adi jeung bapana nganteurkeun zakat fitrah ka masjid samemeh sholat ied,Adi jeung bapana nganteurkeun zakat fitrah ka masjid saenggeus sholat ied,Kulawarga Adi ngumpulkeun zakat fitrah,Adi nulung bapana ngabungkus beas keur zakat,Adi jeung bapana nganteurkeun beas ka masjid,Zakat fitrah kudu dibayarkeun samemeh sholat ied,claude,jv
Death,Tahlilan mangrupa kabiasaan urang Sunda nalika aya kulawarga atawa tatangga nu maot,Kulawarga Bi Eem ngayakeun tahlilan pikeun mapagkeun sasih Ramadhan,Kulawarga Bi Eem ngayakeun tahlilan,Aya babacaan yasin jeung doa keur nu maot,Aya ogé nu ngaji Al-Quran,"Unggal réngsé tahlilan, aya kadaharan anu dibagi-bagi ka tamu",claude,jv
Pregnancy and Kids,Indung jeung bapa ngarojong budak pikeun ngahontal tujuan hirupna,Indung jeung bapa ngalarang budak pikeun nyieun kaputusan sorangan,"Salaku jalma déwasa, budak kudu bisa mandiri",Budak kudu bisa nyieun kaputusan sorangan,Budak ogé kudu tanggung jawab kana kahirupanana,"Tapi, indung jeung bapa tetep kudu ngarojong budak",claude,jv
Art,Sita jeung babaturanana sayagi milu pintonan seni,Sita kaluar ti ekskul tari Sunda,"Dina raraga ngamumulé kasenian Sunda, sakola Sita ngayakeun ekskul tari Sunda",Sita milu ekskul éta sabab resep pisan nari,"Unggal minggu, Sita jeung babaturanana latihan tari Merak, tari Kandagan, jeung tari Jaipongan",Sita jeung babaturanana latihan kalawan soson-soson,claude,jv
Religious Holiday,Kulawarga Ayi ngadahar opor ayam sareng kabahagiaan dina poé Lebaran,Ayi teu tiasa masak opor ayam pikeun Lebaran,"Saméméh Lebaran, Ayi sibuk mésér bahan-bahan pikeun nyieun opor ayam","Manéhna mésér hayam, santan, bawang, jahe, salam, sareng bumbu sanésna",Ayi ogé mésér lontong sareng sambal goreng kentang,"Dina poé Lebaran, Ayi masak opor ayam anu ngeunah pisan",claude,jv
Daily Activities,Cau sareng susu téh kadaharan anu séhat pikeun barudak,Adi meser cau sareng susu pikeun dipasihan ka réréncangan sakelasna,Adi ngagaleuh ka warung,Adi meser cau sareng susu,Cau éta bade dibantun ka sakola,Adi bade ngadahar cau éta salami istirahat,claude,jv
Death,"Saatos maca surat éta, Neng Imas ngartos harti tina kecap konci éta nyaéta lokasi dimana nini nyimpen barang-barang berhargana",Neng Imas ngajual surat éta ka kolektor barang antik,Neng Imas keur muka kotak anu eusina barang-barang titinggal almarhum nini,Anjeunna mendakan hiji amplop anu eusina surat ti nini,"Dina surat éta, aya kecap konci anu ditulis ku nini",Neng Imas ngarasa penasaran pisan kana harti tina kecap konci éta,claude,jv
Fisheries and Trade,Ibu Siti seneng pisan tiasa ngagaleuh lauk anu seger kalayan harga mirah,Ibu Siti ngagaleuh sadayana lauk anu dijual ku tukang jual éta,Ibu Siti sering balanja ka pasar unggal énjing-énjing,Anjeunna biasa meuli bahan kadaharan seger pikeun masak,"Hiji poé, anjeunna ningali aya tukang jual lauk anu masihan potongan harga",Ibu Siti ngagaleuh sababaraha kilo lauk pikeun didahar ku kulawargana,claude,jv
Death,Kulawarga ngabagi harta warisan luyu sareng aturan agama,Rina ngabagi harta warisan numutkeun kahayang pribadina,Ema Rina ninggal dunya ku margi panyakit jantung,"Saatos jenazah dikurebkeun, kulawarga ngabagi harta tinggalanna","Salaku anak cikal, Rina kedah ngabagi harta warisan kalayan adil",Tapi aya sababaraha masalah dina prosés pangbagian harta warisan,claude,jv
Death,Sasajén éta minangka wujud panghormat ka almarhum,Sasajén éta dianggap haram ku agama,Kulawarga Dani keur kumpul saatos acara tahlilan,Dina acara éta aya sasajén anu ditataan dina meja,Sasajén éta mangrupa kadaharan anu dipikaresep ku almarhum,Sasajén éta dibagikeun ka tatamu anu datang,claude,jv
Food,Neng Iteung sering tuang di warung Bi Eem unggal dinten libur.,Neng Iteung gaduh warung nasi timbel.,Neng Iteung gaduh rencang anu ngaranna Bi Eem,"Bi Eem boga warung nasi anu ngaranna ""Nasi Timbel Bi Eem""","Sapertos nami warungna, Bi Eem masak sangu timbel sareng lauk pauk anu ngeunah pisan",Neng Iteung resep pisan ka Nasi Timbel Bi Eem,claude,jv
Food,Mang Udin hoyong putrana ngagaduhan tatakrama anu sae,Mang Udin nganggap dahar ngangge panangan henteu higenis,Mang Udin gaduh kabiasaan dahar ngangge sendok sareng garpu,Anjeunna teu resep dahar langsung ngangge panangan,Mang Udin rumaos langkung sopan upami ngangge sendok sareng garpu,Mang Udin oge ngawulang putra-putrina supados ngangge cutlery nalika dahar,claude,jv
Agriculture,Hajat syukuran minangka adat kabiasaan masarakat sateuacan ngamimitian melak paré,Pa Asép ngajual sawahna lantaran teu hoyong deui tani,Pa Asép gaduh sawah sakotak di gigireun imahna,"Unggal wayah hujan, anjeunna sok melak paré di sawahna","Saméméh melak, Pa Asép ngayakeun hajat syukuran",Sasadiaan dina hajat éta nyaéta sangu tumpeng sareng lauk-paukna,claude,jv
Art,Mang Asep nginjeum kacapi ka babaturanana anu ogé pamaén kacapi,Mang Asep nolak undangan pikeun ngiringan upacara pernikahan adat,"Dina acara pernikahan adat Sunda, aya kacapi anu sok ditabéuhkeun",Mang Asep téh pamaén kacapi anu paling sohor di kampungna,Anjeunna diondang pikeun ngiringan upacara pernikahan adat di lembur sabelah,"Tapi pas poé éta, kacapi Mang Asep rusak",claude,jv
Socio-religious aspect of life,"Ku kituna, Neng Imas tiasa ngamumulé sareng ngalestarikan budaya Sunda",Neng Imas hoyong seueur jalmi nu resep ka manehna,Neng Imas kagungan karesep ngangge pakean adat Sunda,Manehna sering ngangge kabaya sareng samping,Neng Imas ngaraos resep upami tiasa ngamumulé budaya Sunda,"Satiap dinten, Neng Imas ngangge baju adat Sunda",claude,jv
Fisheries and Trade,"Sanggeus mésér obat ti toko, udang galah Mang Ujang jadi cageur deui",Mang Ujang ngajual udang nu lain warna jadi beureum,Mang Ujang téh patani udang galah,Anjeunna ngajaga udang-udangna kalawan taliti,"Hiji poé, sababaraha udang galahna lain warna jadi beureum",Mang Ujang pusing mikir kumaha cara ngubaran udang-udangna,claude,jv
Pregnancy and Kids,Siti ngalahirkeun budak anu séhat tur sampurna,Siti teu ngalakukeun adat kahamilan,"Wanci bobot, Siti mindeng ngadoa ka Gusti Allah",Siti ngalakukeun adat kahamilan saperti ngalengkepan tujuh bulanan,Siti ngajaga kaséhatan sareng dahar anu séhat,Siti ngantosan dinten kalahiran budakna kalayan sabar,claude,jv
Pregnancy and Kids,Siti ngarasa nyaman aya di lingkungan anu anyar,Siti nangis sabab teu dirurus deui ku nini,Aya tradisi ngarupus dina budaya Sunda,Ngarupus nyaéta ngasuhan budak ku indung atawa nini,Budak Siti dirurus ku nini ti umur 6 bulan,Ayeuna umur Siti 3 taun,claude,jv
Daily Activities,Mobilna Bapa kedah diganti suku cadangna,Mobilna Bapa henteu kedah diropéa,Bapa mawa mobilna ka bengkel,Mobilna ngarandang nalika dipaké ka kantor,Bapa nyangka aya masalah dina mesin mobilna,Montir di bengkel mariksa mobilna Bapa,claude,jv
Food,Tahu gejrot buatan Dina ngarasa seger sareng lada,Dina henteu tiasa nyieun tahu gejrot,"Dina hiji dinten, Dina meser tahu sumedang",Tahu sumedang mangrupikeun kadaharan has ti Sumedang,Dina meser tahu sumedang saloba 2 bungkus,Dina hoyong damel tahu gejrot nganggo tahu sumedang,claude,jv
Socio-religious aspect of life,Ieu mangrupa simbol tanggung jawab salaku salaki anu kudu ngabiayaan pamajikan,Duit dina amplop konéng baris dipaké pikeun balanja di mall,"Dina acara siraman pangantén, aya upacara ngalemar",Pangantén lalaki kudu méré duit ka pangantén awéwé,Duit ieu disimpen dina envelop konéng,Tuluy pangantén awéwé narima bari nyium leungeun calon salakina,claude,jv
Food,Neng Imas ngajaga tradisi kulawargana dina ngadamel opak,Neng Imas ngadamel opak pikeun dijual ka pasar,Neng Imas nuju ngadamel opak di pawon,Anjeunna ngangge wajan anu tos turun-tumurun ti nini buyutna,Neng Imas ngadamel opak dumasar kana resep kulawargana,Opak anu kadamel ku Neng Imas kacida ngeunah sareng seungit,claude,jv
Family Relationships,Adi rajin diajar supados tiasa ngabantosan abah sareng ema,Adi angkat ti bumi kalayan teu pamit,Abah nyarita ka Adi ngeunaan kaayaan kulawarga,Adi ngarasa sedih lantaran teu acan tiasa ngabantosan abah sareng ema,Ema masihan pangrojong ka Adi,Adi gaduh tekad kanggo ngabantosan kulawargana,claude,jv
Traditional Games,"Sanajan Nisa sering kalah, tapi manéhna tetep resep kaulinan congklak.",Nisa ambek ka Rani lantaran teu bisa meunang kaulinan congklak.,Nisa jeung Rani keur arulin congklak di kolong tangga imah Nisa,Rani mawa congklak tina kai nu geus lila dipiboga ku kulawargana,Nisa jeung Rani silih ganti ngamainkeun congklak,Tapi Rani leuwih lihai batan Nisa dina maén congklak,claude,jv
Religious Holiday,Rudi ngaraos bagja tiasa berbagi ka sasama,Rudi ngaraos sedih domba anu dipiara kudu diqurbankeun,"Saminggu sateuacan Idul Adha, Rudi jeung bapana meuli domba",Aranjeunna meuli domba anu séhat jeung ageung,"Dina dinten Idul Adha, domba éta diqurbankeun",Daging qurban éta dibagi-bagi ka jalma-jalma anu kekurangan,claude,jv
Food,"Najan sanes kado anu lumrah, tapi ieu kado tetep ditampi bari seuri ku siswa anu nampi",Siswa anu nampi kado kupat tahu sareng leupeut ngarasa kuciwa,Acara ulang taun sakola SMP Bintang Timur dipungkas ku babarengan tuker kado antawis siswa,Salah sahiji siswa nampi kado kotak ageung pisan,"Saatos dibuka, eusina nyaéta samangkok ageung kupat tahu sareng leupeut","Rupina ieu téh kado ti Adi, réréncangan sakelasna anu resep pisan kana kupat tahu sareng leupeut",claude,jv
Socio-religious aspect of life,Ieu kabiasaan hadé pikeun ngamimitian dinten,Adi ngarasa teu betah ibadah di masigit,"Dina poé Saptu, Adi indit ka masigit pikeun ibadah solat Subuh","Sanggeus solat, anjeunna ngarasakeun katenangan ati",Adi rutin ngalaksanakeun ieu kagiatan unggal Saptu,Anjeunna ngarasa deukeut ka Gusti Allah,claude,jv
Socio-religious aspect of life,Bi Eem yakin pisan kana kahadéan kosmetik tradisional,Bi Eem meuli kosmetik impor ti luar negeri,Bi Eem resep pisan ngagunakeun kosmetik tradisional,Manéhna ngarasa yén kosmetik tradisional leuwih aman pikeun dipaké,Bi Eem mindeng meuli bahan-bahan kosmetik di pasar tradisional,Manéhna ogé nyieun kosmetikna sorangan di imah,claude,jv
Wedding,Acara ieu minangka silih tanya antawis kulawarga calon pangantén,Acara ieu pikeun ngajukeun sarat ka pangantén awewe,Dina nikahan adat Sunda aya acara buka pintu,Acara ieu janten syarat pikeun calon pangantén lalaki asup ka bumi calon pangantén awewe,Perwakilan kulawarga calon pangantén lalaki kedah muka konci panto,Saatos éta kakara rombongan pangantén lalaki tiasa asup,claude,jv
Death,Kulawarga Abah Soleh bersabar dina nyanghareupan musibah ieu,Kulawarga Abah Soleh teu narima kapergian anjeunna,Abah Soleh dipanggil ku Gusti Allah dina yuswa 90 taun,Anjeunna maot kalayan tenang dina kulemna,Kulawargana ngayakeun tahlilan salila 7 poé 7 peuting,Loba tatangga anu ngadunga kanggo arwah Abah Soleh,claude,jv
Death,Masihan kembang jeung cai kana kuburan mangrupa wujud kanyaah ka almarhum,Masihan kembang jeung cai kana kuburan dianggap musyrik,Kulawarga Andi ngubur mayit bapana dina kuburan kulawarga,"Saatos mayit dikubur, kulawarga Andi masihan kembang kana kuburan",Kulawarga Andi ogé nyiram kuburan ku cai,Éta mangrupa tradisi Sunda dina ngurus kuburan,claude,jv
Religious Holiday,Ayu ngaraos bagja pisan tiasa ngumpul sareng kulawargana,Ayu ngaraos sedih kusabab teu gaduh duit,"Dina dinten Idul Fitri, kulawarga Ayu ngumpul di bumi nini",Ayu jeung dulur-dulurna silih maafkeun,Ayu jeung kulawargana tumaninah ngalaksanakeun solat Id,"Sanggeus solat, aranjeunna dahar leupeut sasarengan",claude,jv
Wedding,Tamu undangan ngarasa sugema jeung wareg sanggeus dahar kadaharan anu lezat,Tamu undangan protes kusabab kadaharanana teu loba,"Salila acara nikahan, tamu undangan disuguhi ku rupa-rupa kadaharan tradisional Sunda","Aya nasi tumpeng, tumis labu siam, ayam goreng, gado-gado, jeung loba deui",Kadaharan ieu dimasak ku para wanoja ti kulawarga pangantén awéwé,Maranéhanana masak ti subuh pisan sangkan kadaharanana siap waktu acara nikahan,claude,jv
Daily Activities,Kagiatan ieu jadi ajang silaturahmi jeung sasama tatangga,Ulin bal ngan ukur pikeun lalaki,Ismi jeung kulawargana boga kabiasaan ulin bal bareng unggal Minggu énjing,Maranéhna ulin bal di lapang deukeut komplék imahna,"Biasana saha waé meunang ilubiung, boh barudak boh kolot","Sanggeus capé ulin bal, maranéhna istirahat jeung dahar nasi liwet anu geus disadiakeun",claude,jv
Pregnancy and Kids,Komunikasi antara sepuh sareng anak mangrupa hal anu penting.,Sepuh teu kedah nyawalakeun masalah sareng anakna.,Neng Siti keur cacarakan sareng anakna anu umurna lima welas taun,Neng Siti nanya kumaha kaayaan sakola anakna,Neng Siti nanya naha aya masalah anu kaalaman ku anakna,Neng Siti mere nasehat ka anakna sangkan anjeunna bisa ngungkulan masalahna,claude,jv
Food,Cendol Mang Ujang laris sareng seueur anu mesen,Mang Ujang eureun ngadamel cendol kusabab teu aya nu meser,Mang Ujang ngadamel cendol di bumi,Cendol mangrupikeun inuman tradisional Sunda anu didamel tina tipung hunkwe,Cendol biasana ditambihan es sareng gula merah,Mang Ujang ngajual cendol unggal sonten di payun bumi,claude,jv
Family Relationships,Tamu-tamu katempo bingah sarta betah di acara ulang taun pernikahan Asep,Teu aya anu daratang kana acara ulang taun pernikahan Asep,Keluarga Asep ngadaramel syukuran ulang taun pernikahan di imahna,Aya seueur pisan dahareun anu disadiakeun pikeun tamu undangan,"Salian ti kulawarga, réréncangan sakantor ge loba anu diondang",Aya kaulinan sarta doorprize menarik keur tamu,claude,jv
Fisheries and Trade,Empang kulawarga Pa Dadang jadi conto keur masarakat di sabudeureunana,Kulawarga Pa Dadang eureun ngurus empang,Keluarga Pa Dadang ngagaduhan tradisi babarengan ngurus empang,Unggal anggota kulawarga dibéré pancén masing-masing,"Aya anu méré dahareun lauk, aya anu ngabersihan empang",Aranjeunna babarengan ngajaga kualitas lauk-lauk na,claude,jv
Food,Neng Lia ngaraos sehat kusabab seueur ngadahar sayuran seger,Neng Lia bosen dahar sambel tarasi sareng lalapan,Neng Lia resep dahar sambel tarasi sareng lalapan,Sambel tarasi sareng lalapan mangrupikeun kadaharan khas Sunda,Neng Lia nyieun sambel tarasi ku bahan-bahan anu seger,Neng Lia dahar sambel tarasi sareng lalapan unggal dinten,claude,jv
Fisheries and Trade,Ikan nila ti kolam Mang Udin dipikahoyong ku seueur restoran,Mang Udin henteu tiasa ngajual ikan-ikanana ku sabab kualitasna goréng,Mang Udin ngagaduhan seueur kolam ikan nila,Anjeunna ngajaga kualitas cai sarta dahareun ikanana,Ikan-ikan nila Mang Udin tumuwuh séhat sarta ageung,Mang Udin tiasa ngajual ikan-ikanana ka restoran-restoran,claude,jv
Art,Mang Anom meuli angklung awi sabab leuwih alus sorana.,Mang Anom meuli gitar listrik.,Mang Anom keur meuli angklung di pasar seni,Mang Anom ningali rupaning angklung anu dijual,"Aya angklung anu bahanna tina awi, aya ogé anu tina kai",Mang Anom nanya ka tukang jualna ngeunaan bédana angklung awi jeung angklung kai,claude,jv
Socio-religious aspect of life,Indra ngaraos bahagia tiasa ngabantosan ngabersihan masjid,Indra ngaraos cape sarta hoyong geura-giru mulang,Indra keur milu kagiatan ngabersihan masjid,Anjeunna ngabagi pagawéan sareng réréncangan sanésna,Indra kabagian ngabersihan rohangan utama masjid,Anjeunna ngepél lantai dugi ka beresih,claude,jv
Religious Holiday,Kemal jeung kulawargana ngarasa sugema bisa ngalaksanakeun ibadah kurban,Kemal jeung kulawargana ngarasa rugi geus ngurbankeun sapi,"Dina poé Idul Adha, Kemal jeung kulawargana ngurbankeun sapi",Kemal milu ngabantu bapana motong-motong daging sapi,Sabagian daging sapi dibagi-bagi ka tatangga nu keur sasar,Kemal ngarasa bagja bisa ngabantu batur dina poé ieu,claude,jv
Food,Loba jalmi anu meuli cau ka Jang Asep kusabab ngeunah sareng seger,Cau Jang Asep henteu laku,Jang Asep dagang cau di sisi jalan,Cau titipan ti kebon bapana,"Jenis cau anu didagang nyaéta cau raja, cau ambon, sareng cau uli",Jang Asep masihan harga anu murah,claude,jv
Agriculture,"Hasilna saban usum panen, Pa Asép tiasa ngajual hasil kebonna kalayan pangaos anu saé",Pa Asép teu resep dahar sayuran,Pa Asép boga kebon nu legana 2 hektar,Manéhna melak rupa-rupa pepelakan,"Aya cabe, tomat, jeung sababaraha pepelakan lianna",Saban poé Pa Asép miara pepelakanna kalayan saé,claude,jv
Socio-religious aspect of life,Haji Asép nerangkeun yen kacang hejo ngandung seueur gizi anu hadé pikeun awak,Haji Asép ngarobih kabiasaanana amarga teu resep kacang hejo deui,Haji Asép kagungan kabiasaan dahar kacang hejo unggal énjing,"Numutkeun anjeunna, kacang hejo tiasa ngajaga kaséhatan",Sababaraha tatangga anu sabaraha terang ngaraos penasaran,Aranjeunna naroskeun alesan Haji Asép dahar kacang hejo unggal dinten,claude,jv
Fisheries and Trade,Lauk mas Pak Asep gancang payu kusabab kualitasna nu alus,Pak Asep ngical sadaya lauk masna kusabab teu bisa ngajual,Pak Asep gaduh balong lauk mas di buruan imahna,Saban dinten anjeunna miara lauk-lauk eta kalayan saé,Pak Asep masihan dahareun nu berkualitas sarta ngajaga kebersihan cai,"Dina hiji dinten, réa jalma anu daratang hoyong meuli lauk mas Pak Asep",claude,jv
Religious Holiday,Aranjeunna ogé silih hampura pikeun ngamimitian Lebaran kalayan manah anu beresih,Asep sareng kulawargana dahar dugi ka kekenyangan,"Dina dinten Idul Fitri, kulawarga Asep ngumpul di bumi kolot","Saatos solat Id, aranjeunna sasarengan dahar kadaharan has Lebaran","Aya opor, rendang, lontong, sareng sambel goreng kentang anu ngebul-ngebul","Saatos tuang, aranjeunna silaturahmi ka kulawarga sanes sareng tatanggi",claude,jv
Religious Holiday,Farhan ngarasa bagja bisa silaturahmi jeung nyuhunkeun pangdu'a ti nini aki,Farhan ngarasa sedih kudu silaturahim ka imah nini aki unggal taun,"Saatos sholat Ied, Farhan jeung kulawargana silaturahmi ka imah nini jeung aki",Aranjeunna nyalaman ka nini aki bari sungkem,Farhan nyuhunkeun dihampura ku nini jeung aki mun aya kasalahan,Nini jeung aki ngadu'akeun Farhan sangkan jadi budak sholeh,claude,jv
Art,Tari jaipong mangrupa ciri has budaya Sunda anu kedah dilestarikan,Tari jaipong mangrupa tarian tradisional ti Jawa Tengah,"Dina hiji acara kasenian, aya pagelaran tari jaipong",Tari jaipong mangrupa tarian tradisional ti Jawa Barat,Gerakanana lemes sarta diiringan ku gamelan,Tari jaipong biasana dipintonkeun dina acara-acara husus,claude,jv
Family Relationships,Acara dahar sasarengan ngajadikeun kulawarga Dani tambih akur,Kulawarga Dani ngan ukur dahar sasarengan dina acara husus,Keluarga Dani boga kabiasaan ngumpul sareng dahar sasarengan unggal wengi,Ieu hal tos janten tradisi ti jaman kolot,"Dina acara dahar sasarengan, aranjeunna ngobrol ngeunaan kagiatan sapopoe",Aranjeunna oge silih bantuan nalika aya masalah,claude,jv
Fisheries and Trade,"Sababaraha dinten ti harita, lele-lele Pak Ujang cageur deui",Pak Ujang langsung masak lele anu gering,Pak Ujang gaduh balong lele ageung di buruan imahna,Unggal dinten anjeunna miara lele-lelena kalayan sumanget,"Dina hiji dinten, Pak Ujang ningali sababaraha lelena gering",Pak Ujang langsung nyandak obat khusus kanggo lele anu gering,claude,jv
Death,Ema-ema dahar babarengan bari ngobrol ngeunaan almarhum,Ema-ema mulang satutasna acara réngsé,"Dina acara tahlilan, aya sababaraha rangkaian acara","Mimiti maca yasin, tahlil, nepi ka ceramah ti ustadz","Sabada éta, aya acara ngaduakeun duit sumbangan",Saterusna aya acara dahar babarengan,claude,jv
Religious Holiday,Adi ngabagi daging kurban ka nu mikabetah,Adi dahar daging kurban sorangan,"Dina dinten Idul Adha, Adi ningali bapana ngurbankeun domba",Daging domba kurban dibagi-bagi ka nu mikabetah,Adi ngabantos bapana ngabungkus daging kurban,Adi ngaraos bahagia tiasa ngabagi kabahagiaan ka batur,claude,jv
Wedding,Seserahan dilaksanakeun saminggu sateuacan akad nikah,Seserahan dilaksanakeun sabulan sateuacan akad nikah,Gina jeung Budi badé nikah dina bulan hareup,Adat kawin di lembur Gina nyaéta kudu aya seserahan,Kulawarga Budi nyiapkeun rupa-rupa kado pikeun seserahan,Kado éta minangka tanda hormat ka kulawarga Gina,claude,jv
Art,Neng Rani janten juara dina pasanggiri tari jaipong tingkat nasional,Neng Rani janten juara dina pasanggiri tembang Sunda tingkat nasional,Neng Rani kacida resepeun kana tari jaipong,Unggal dinten anjeunna latihan tari jaipong di bumi,Neng Rani gaduh impian bade janten penari jaipong anu kacida sohor,Anjeunna hoyong tampil dina panggung-panggung ageung,claude,jv
Art,Latihan anu rutin ngajadikeun grup Dani jadi juara dina lomba angklung,Grup Dani kalah dina lomba angklung kusabab teu aya persiapan,Dani jeung babaturanana rék milu lomba maén angklung di sakola,Aranjeunna latihan unggal soré di imah Dani,"Dina poé lombana, grup Dani nembongkeun pintonan anu pikaresepeun",Aranjeunna meunang juara kahiji dina lomba éta,claude,jv
Pregnancy and Kids,Adat Sunda ogé ngalaksanakeun upacara cukuran dina umur orok 40 dinten,Adat Sunda ngawajibkeun orok dipotong rambutna sapoe sanggeus lahir,"Sanggeus orok lahir, aya sababaraha adat anu kedah dipigawé","Nurutkeun adat Sunda, orok kedah diberesihan ku cai anu dicampur kembang tujuh rupa",Ieu dipercaya tiasa ngajauhkeun orok tina panyakit,"Salian ti éta, aya ogé adat anu sanésna",claude,jv
Art,Santi ditampa jadi anggota sanggar tari kusabab kamampuhan nari Jaipongna,Santi gagal dina audisi kusabab teu boga bakat nari,Santi rék milu audisi nari Jaipong di sanggar tari,Manéhna teu yakin kana kamampuhan narina,Santi terus latihan unggal poé di imahna,"Dina poé audisi, Santi bisa mintonkeun gerakan nari anu alus",claude,jv
Death,Warisan dibagi adil ka putra-putrina numutkeun hukum Islam,Sadaya warisan diical pikeun mayar hutang Mang Ujang,Mang Ujang ninggalkeun sababaraha harta warisan,"Aya sawah, kebon, sareng sababaraha imah kontrakan",Putra-putrina kedah nyadiakeun duit pikeun kaperluan prosési pemakaman,"Saparantos 40 poé, ahlina ngayakeun babaosan ngeunaan warisan",claude,jv
Wedding,Upacara sawér téh pikeun méré piwuruk ka pangantén supaya rumah tanggana bisa bagja,Upacara sawér dilakukeun sangkan pangantén bisa gancang boga anak,"Dina kawinan adat Sunda, aya upacara sawér",Sawér mangrupa wejangan ti kolot ka pangantén,Eusi sawér biasana piwuruk ngeunaan kahirupan rumah tangga,Sawér dilakukeun ku kolot atawa sesepuh kulawarga,claude,jv
