sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending,language
Bob nduweni pita suara sing apik,Wiwit cilik dheweke diwulang nyanyi dening bulike sing uga penyanyi,Bob uga bisa main macem-macem instrumen,"Gitar, piano, lan trompet minangka conto",Bob minangka bocah sing duwe bakat ing jagad musik,Bob lan bulike kerep nonton TV bareng,jv
Miko duwe kanca sing guyon,"Pirang jam kepungkur, Miko keturon ing bis wisata sing isine murid-murid kelase",Kanca-kancane njupuk foto Miko lagi turu kanthi pose lucu,"Nalika Miko tangi, kanca-kancane langsung nuduhake foto sing dijupuk",Miko ngguyu banter amarga kelakuane kanca-kancane sing usil,Miko uga ngajak kanca-kancane turu,jv
Voldemort minangka penyihir peteng,Dheweke kuwat banget lan ala,Donya wis dadi peteng karo piala,Ora ana sing wani nglawan kekuwatane Voldemort,Voldemort kuat banget,Akeh wong sing nggumunake Voldemort,jv
Brian mung kena serangan jantung,Brian lungguh ing ndhuwur jendela kamare,Brian nyawang langit karo bengok-bengok nesu,Brian ngrasa n&#xE8;k urip kuwi ora adil kanggo dh&#xE8;w&#xE8;k&#xE9;,Brian rumangsa ora tau seneng,Brian ngrasa seneng nalika ngalami lara ati,jv
Jamil wis kangen latihan basket,Wis rong minggu sikile tatu,Dheweke tatu sawise tiba saka motore,Dheweke dilarang nindakake kegiatan sing abot nganti sikile mari,"Mula, dheweke wis rong minggu ora main basket",Yen sampeyan tiba saka motor sampeyan kudu menyang rumah sakit,jv
Negara iki kayane duwe 3 kasta masyarakat,Masyarakat luhur dadi panguwasa,Wong kelas menengah ora ngerti apa sing kudu ditindakake,Wong kelas ngisor mesthi dadi buruh,Income nemtokake kasta,Saben uwong dianggep padha ing negara iki,jv
Akhire dina iki Ratna golek papan kanggo njerit-njerit sabisane.,Ndelok bukit-bukit ijo sing mbukak lan omah-omah sing katon cilik banget ditambah karo angin sepoi-sepoi.,"Meh sampurna, rasa kesel dilunasi, pikire.","""Ana apa kowe bengok-bengok kaya ngono?"" pitakone salah sijine kancane.","&#x201C;Ora apa-apa, iki kumpulane pirang-pirang masalah kepungkur,&#x201D; wangsulane Ratna karo mesem marang kancane.","""Aku bosen urip, aku mung pengin mlumpat,"" ujare Ratna karo nangis ing pinggir tebing.",jv
Ivy kepengin nonton berita ing televisi,Televisi Ivy ora nuduhake gambar sing apik,Ivy nglaporake iki marang bapake,Bapak mbenerake posisi antena televisi,Ivy bisa nonton berita kanthi jelas,Ivy ndandani antena televisi dhewe,jv
"Nalika ngerjakake tugas kuliah, Jojo ndeleng TV sing nuduhake kabar narapidana sing lolos saka penjara.",Dumadakan dheweke kelingan film babagan tahanan sing dijanjikake kebebasan yen menang balapan mobil.,Jojo uga mikir kaya apa yen dikunjara lan digodha dening kamardikan kanthi resiko nyawane.,Apa dheweke bakal wani njupuk risiko iki utawa mung pasrah karo ngenteni ukuman rampung?,Jojo ngalamun suwe nganti lali karo tugase sing durung rampung.,Jojo pengen nyoba balap mobil.,jv
Bab sing aku ora seneng yaiku obah.,"Pindhah omah, pindah kos, utawa malah pindah kamar.","Kaya sing diomongake Raditya Dika, awake dhewe kudu ketemu maneh karo barang-barang lawas sing wis ora pengin dideleng maneh.",Item sing nggawa maneh kenangan manis lan pait saka jaman biyen.,"Mula, obah nggawe kita mikir babagan barang sing kudu digawa lan barang sing kudu ditinggal.",Dina iki aku pindhah omah menyang kutha sabanjure.,jv
Jerom rumangsa rambute wis dawa banget,Jerom arep menyang pangkas rambut,Jerom ngejak adhin&#xE9; m&#xE8;lu,Jero menyang pangkas rambut dhewekan,Adhine Jerom ora gelem melu,Jerom ora duwe adhik,jv
Rena wis kaping pirang-pirang nyoba nandur kemangi,Sayange dheweke tansah gagal,Dheweke wis nyoba tuwuh saka wiji,Dheweke uga wis nyoba ngrawat bibit cilik,"Sanajan dheweke wis ngrawat dheweke kanthi apik, dheweke mesthi gagal",Tanduran sing kena Rena bakal mati,jv
Sore iku Key lan kanca-kancane mlaku saka perpustakaan menyang kelas.,&#x201C;Ehm kuncine...&#x201D; dumadakan ana swara saka kamar mandi perpustakaan sing nyebut jenenge kuncine.,Key kaget lan noleh menyang sumber swara.,"""Ah Steef? Opo kowe neng ngarep wc kaya ngene iki?"" pitakone Key tanpa bisa ndhelikake pipine sing mbrabak.","&#x201C;Cukup ngenteni kowe, Key,&#x201D; wangsulane Steef sing mesthi gawe atine Key tambah deg-degan.",Key lan Steef wis setaun pacaran.,jv
Rosen ngajak bojone gawe teh panas,Bojone Rosen mlebu nggawa teh panas,Rosen ngajak bojone lungguh ing sandhinge,Rosen lan bojon&#xE9; padha bantered karo saben liyane,Rosen lan bojone seneng karo perkawinan iki,Rosen ora pengin cedhak karo bojone,jv
Ardiyah ora oleh gawe,Ardiyah mung lulus SMA,Ardiyah entuk tawaran dadi kasir ing supermarket,Ardiyah nampa tawaran kasebut,Ardiyah duwe gawe dadi kasir ing supermarket,Ardiyah luwih seneng nganggur,jv
Dian kerep nganggo bathik,Dian kepengin nguri-uri budaya Indonesia,Dian ora isin yen nganggo bathik,Dian bangga karo bathik sing digunakake,Batik minangka salah sawijining kabudayan Indonesia,Dian luwih seneng nuruti tren budaya barat,jv
Novia njaluk es krim marang adhine,Mbakyune Novia ora gelem diganggu,Novia sedhih lan nangis meneng,Adhine Novia wis tuku es krim ing kulkas,Novia dadi seneng lan ora nangis,Novia duwe adhine,jv
Dino alergi laktosa,Dheweke ora bisa ngombe susu sapi,"Yen ngombe susu, wetenge lara","Mula, Dino kudu ngombe susu liyane",Biasane dheweke ngombe susu kedelai utawa susu almond,Susu sapi ora apik kanggo kesehatan,jv
Bapak percaya yen Kina bisa cepet numpak sepeda kanthi lancar.,Saben sore Bapak ora kleru mulang Kina.,Kina alon-alon nyoba maju nganggo sepedane.,Bapak ngawasi Kina kanthi mlaku sakcedhake saka mburi ban sepedha Kina.,"Yen Kina tiba-tiba kelangan imbangan, Bapak langsung ngendhegake dheweke tiba.","Yen Kina tiba, Bapak nglilani.",jv
Ichsan iku bocah sing ramah,Dheweke pancen apikan karo wong-wong saka kabeh umur,"Nalika sosialisasi, dheweke ora tau mbedakake",Kabeh tanggane ngerti Ichsan lan seneng ngobrol karo dheweke,Malah warga komplek sebelah uga kenal karo Ichsan,Saben dina Ichsan mangkat sekolah karo anake tanggane,jv
Allan melu reuni karo kanca-kancane,Allan crita akeh karo kanca-kanca lawase,Akeh owah-owahan ing antarane Allan lan kanca-kancane,Allan kerep ora kenal kanca-kancane,Allan duwe memori jangka pendek sing kurang,Allan apal jenenge kabeh kancane,jv
Ibu lan bapake ngajak Juju menyang toko sepeda,Semester iki Juju rangking siji ing kelas,"Minangka hadiah, dheweke bakal tuku sepedha",Juju milih sepeda abang,Dheweke seneng amarga bisa entuk sepeda sing dikarepake,Dheweke jengkel amarga dheweke pancen pengin sepeda biru,jv
Larry ora nggatekake tarik tangane Ruly adhine.,Larry fokus ing ponsel ing tangane.,Larry nggoleki dalan menyang Monas saka stasiun liwat Google Maps.,"Nalika Ruly rengek-rengeng arep menyang WC, Larry langsung noleh menyang Ruly kanthi kaget.",Larry langsung nggendong Ruly lan mlayu menyang toilet stasiun.,Larry langsung nggendhong Ruly lan mlebu sepur.,jv
Kapten tanggung jawab kanggo kemudi kapal,Kapten tanggung jawab kanggo safety penumpang,Kapten kudu nemtokake arah kapal sing dilayari,Kapten kerjane karo awak kapal,Kapten kerja bareng karo kru kanggo kemudi kapal,Kapten mung nyambut gawe ing kapal,jv
Fred seneng banget sepatu,Dheweke kerep ndeleng katalog sepatu online,Sayange dheweke ora duwe dhuwit cukup kanggo tuku sepatu akeh,Saiki dheweke mung duwe sepatu siji kanggo sekolah,Dheweke pancen pengin duwe sepatu anyar,Sepatu sing apik lan awet luwih apik kanggo tuku,jv
Ratna mubeng-mubeng numpak motor.,Dheweke kepengin golek cemilan.,Cemilan bakal diwenehake marang Ibu.,Ibu seneng panganan sing manis.,Ratna langsung ngalih motore pas weruh restoran dodolan crepe manis.,Ratna langsung ngobahake motore menyang omahe Sabil.,jv
Dira njupuk andhuk,Dira arep adus,Dira mung adus sedina,Dina iki Dira durung adus,Ibu wis ngongkon Dira adus,Wis seminggu Dira ora adus,jv
Hpne Mamat umure limang taun,"Sanajan kanca-kancane wis bola-bali ganti HP, dheweke ora kena pengaruh",Dheweke uga ora kasengsem karo ponsel paling anyar,HPne Mamat saiki dituku nganggo kringet dhewe,Mula Mamat pancen ngopeni HP-ne,Dheweke ngenteni wong sing nawarake ponsel kanthi rega dhuwur,jv
Yassir kerja ing kantor sing adoh saka omahe.,Perjalanan menyang kantor butuh 2 jam.,Jam 5 yassir kudu numpak sepur.,Yassir uga kudu ganti sepur kaping pindho ing stasiun transit.,Yassir bakal teka ing kantore jam 7 mlaku saka stasiun sing ora adoh saka kantore.,Yassir bakal teka ing kantor sawise sarapan bubur ayam.,jv
Naufal jumangkah menyang jedhing mriksa tangki banyu.,Wis limalas menit dheweke ora nguripake kran banyu.,Bak kudu kebak.,Naufal kaget nalika weruh banyu bak durung kebak.,"Pranyata Naufal lali nutup bolongan got ing bak, sing njalari banyu mili terus metu saka bak.",Jebule Naufal lali ngresiki kamar mandi.,jv
Jason ketemu karo wakil lan anggota komisi organisasi,Wakil Komisi Jason ora bisa rawuh ing rapat kasebut,Jason duwe rapat babagan desain program kerja,Rapat dianakake online,Jason ketemu karo wakil lan anggota komisi organisasi,Mung Jason sing rawuh ing rapat kasebut,jv
Cekelan Jeje ing rel tangan sepur dumadakan diuculake.,Jeje meh tiba amarga kelangan imbangan.,"Nanging, Jeje kasil nyekeli awake jejeg.",Tiba-tiba sepur mandheg njalari tangane Jeje ambruk.,Jeje langsung nyekel rel tangan maneh sadurunge sepur mlaku maneh.,Jeje langsung nggoleki petugas kanggo njaluk tulung.,jv
Wetenge Reno lara banget,Sore iki dheweke nglangi karo mbakyune,"Nanging, sadurunge nglangi dheweke ora panas",Wetenge uga ora diisi wiwit esuk,Akibate wetenge Reno kram,Reno lara weteng amarga ngombe banyu kolam,jv
Gagang jedhing ing omahe Elisa rusak,"Ora mung kuwi, kuncine rada teyeng",Lawang dadi angel banget dibukak,"Kadhangkala, kunci kasebut macet dadi arang digunakake",Mula lawange arang dikunci lan luwih kerep diblokir nganggo watu,Keluarga Elisa kudu mbangun jedhing anyar,jv
Minggu iki bakal ana bazar buku,Panggonane ana ing alun-alun kutha,Macem-macem jinis buku didol kanthi rega murah,Sita lunga menyang pasar buku karo ibune,Dheweke tuku akeh novel lan komik,Sita ora seneng maca buku,jv
Wis seminggu Wiby lara watuk.,Tenggorokane Wiby krasa gatel.,Wiby wis saben dina ngombe obat.,"Nanging, Wiby ora nonton panganane amarga isih kerep mangan gorengan.","Akibate, batuke Wiby ora mari.","Akibate, batuke Wiby saiki dibarengi pilek.",jv
Indonesia lagi kena pandemi,Donya diumumake diserang dening virus Covid-19,Kabeh negara sing ngalami pandemi bakal ngetrapake protokol kesehatan,Indonesia nggawe aturan anyar,Indonesia nggawe aturan anyar babagan protokol kesehatan,Indonesia bebas saka virus Covid-19,jv
Haikal kuwi bocah sing gampang srawung.,Haikal pinter mecah es.,Nang endi wae Haikal mesthi rame.,"Haikal asring guyon, nanging dheweke ngerti watesan apa sing bisa dicekel lan sing ora bisa.",Mula Haikal disenengi kanca-kancane.,Mula Haikal disengiti.,jv
Gian lara,Rambute Gian terus rontok,Gian nindakake terapi,Kondisi rambute Gian tambah parah,Rambute Gian ambruk amarga lara,Gian ngalami terapi supaya rambute ora rontok,jv
Ezra apik ing poker,"Ezra, Giran, lan Johan main kertu bebarengan",Giran lan Johan wis kaping pirang-pirang kalah,Ezra tansah menang gampang,Giran lan Johan ora bisa ngalahake Ezra,Johan bisa ngapusi Ezra lan dadi juara,jv
"&#x201C;Seneng tenan kaya kowe,&#x201D; kandhane nalika mbukak file foto ing laptopku.","""Nalika gedhe sampeyan uga bisa nindakake. Saiki mung seneng dolanan karo kanca-kanca,"" wangsulanku.","&#x201C;Aku ora duwe kanca,&#x201D; jawabe santai sinambi ngrebut HPku.",Aku kaget krungu jawabane.,"&#x201C;Oke, mengko kowe ketemu,&#x201D; wangsulanku maneh sinambi ngelus-elus rambute.","""Celanamu uga apik, ta?""",jv
Rezki pacaran karo wong wedok,Dheweke ngerti bocah wadon kasebut saka platform media sosial,Rezki ora tau ketemu karo bocah wadon kuwi,Rezki nyoba ngilangake rasane,Rezki ora gelem nresnani bocah wadon sing durung nate ditresnani,Rezki meksa dheweke tetep tresna marang bocah wadon mau,jv
Gianna kepengin mulih kanggo dina Ibu,Ibune Gianna kangen banget karo anake,Karyane Gianna ora bisa ditindakake kaya ngono,Gianna isih mulih numpak sepur menyang kampung halamane,Gianna nindakake kabeh pakaryan nalika ing sepur,Gianna mbatalake rencana nemoni ibune,jv
Ezzah kepingin kaya gajah,Gajah gedhe banget lan kuwat,Ezzah kepengin dadi wong sing tangguh nglawan urip,Ezzah ora pengin lemes,Ezzah memotivasi awake dhewe dadi kuwat kaya gajah,Ezzah nyimpen gajah ing kamare,jv
Laily kepengin dadi motivator,Laily pengin menehi semangat kanggo wong liya,Laily kepengin uripe migunani,Laily seneng ngomong umum,Laily nglatih awake dhewe dadi motivator,Laily wedi ngomong ing umum,jv
"Kanggo mengeti ambal warsa sekolah, SMA Harapan nganakake lomba",Lomba kapisan yaiku adu tarik tandhing antarane guru lan siswa,Wakil saka saben kelas nyiapake kanggo nglawan wakil guru,Kompetisi kasebut sengit,Lomba iki dimenangake dening perwakilan siswa,Lomba iki tambah bosen,jv
Valeeqa janji arep teka,Valeeqa ora bisa nepati janjine,Valeeqa nindakake ziarah kuburan,Valeeqa ndedonga kanggo wong sing tilar donya nglairake dheweke,Valeeqa ziarah menyang dhaharan ibune,Valeeqa tansah karo ibune,jv
Randu nduweni koleksi keyboard sing akeh,Randu seneng karo sing lucu lan apik,Randu ngirit dhuwit kanggo tuku barang sing dikarepake,Randu uga kerja paruh wektu kanggo entuk gaji saben wulan,Randu seneng banget karo kabeh koleksi keyboard,Randu ora bisa ngombe sing ditinggalake wong liya,jv
Jihan kudu nuduhake tikete,Jihan bakal diturunake ing stasiun paling cedhak yen tiket ilang,Kondektur sepur wis wiwit mubeng mriksani,Jihan kasil golek tiket,Jihan ora bakal diturunake sadurunge tekan stasiun tujuane,Eka diusir saka sepur,jv
Heni marani Agung,Agung nglukis malang,Heni gumun karo lukisane Agung,Heni nyawang Agung sing lagi nglukis,Agung seneng karo Hani ngancani,Heni lan Heni lagi masak ing pawon,jv
Freya lagi maca buku,Ana akeh buku ing perpustakaan sekolah,Freya seneng ana ing perpustakaan,Freya ora ana ing kantin,Freya ana ing perpustakaan sekolah,Freya lagi mangan awan ing kelas,jv
"""Saiki masak opo mbak?"" Omonge Nana marang ibu sing lagi rame ing pawon.","Saben mulih sekolah, ibu tansah nyawisake nedha awan kanggo Nana.","&#x201C;Dina iki pitik bakar kesukaan nana, ayo cepet ganti klambi,&#x201D; wangsulane ibu.",Nana cepet-cepet ganti klambi supaya bisa langsung bali menyang pawon.,"&#x201C;Wis rampung bu, nana wis siap mangan masakane ibu,&#x201D; kandhane nana nggawe ibune ngguyu amarga kelakuane.",Kamangka saiki Nana wis kelas 2 SMP.,jv
Pandanganku bali maneh menyang udan ing njaba jendhela.,Wiwit cilik aku seneng nyawang udan.,Saben tetes kaya melodi sing ngajak aku dolanan.,Udan uga ngelingake kanca-kanca cilikku.,Aku tansah kangen dheweke sanajan aku ora ngerti maneh carane.,Bau udan sing teka saka lemah biasane diarani petrichor.,jv
Airy arep menyang pasar malem,Airy ora duwe dhuwit,Airy njaluk dhuwit marang bapake,Bapake Airy ora menehi dhuwit marang Airy,Airy ora tuku apa-apa saka pasar malem,Airy ora seneng menyang pasar malem,jv
Cheryl ora nganggo topeng,Saben wong sing nindakake kegiatan ing njaba omah kudu nganggo topeng,Polisi bakal tumindak tegas marang wong sing ora duwe topeng,Cheryl kudu mbayar denda,Polisi menehi tiket Cheryl amarga ora nganggo topeng,Cheryl minangka perwira polisi,jv
Anis nyoba nyegah korupsi ing papan kerjane,Anis ora pengin karyawane melu korupsi,Anis bebas saka tuduhan korupsi,KPK tau nggol&#xE8;ki kantore Anis,KPK ora nemu dakwaan marang Anis lan kantore,Anis koruptor gedhe,jv
Vinda digawe panas sup buntut saka afternoon iki kanggo ngawula minangka nedha bengi.,Sega putih lan peralatan mangan ditata rapi ing meja.,Ana uga jar kripik kanggo ngiringi sup buntut.,Bapak lan Ibu lungguh ing meja makan.,Dheweke langsung njupuk sega lan mangan kanthi lara pas disuguhake sup buntut.,"Dheweke langsung metu saka meja makan, sawise disuguhake sop buntut.",jv
Reki nggawa roti 2 potong,Jia ora nggawa bekal,Jia weruh Raka lagi mangan awan,Raka menehi roti marang Jia,Jia matur nuwun Raka,Jia menehi nedha awan marang Raka,jv
Atine Ika wis deg-degan ngenteni asil Ujian Nasional sing bakal metu sore iki.,Ika wis ora fokus maneh ngrungokake katrangan saka wali kelase Bu Ida.,Mripate Ika bolak-balik nyawang Bu Ida ing ngarepe lan jam tangan ing bangkekan kiwa.,Kanca-kancane Ika liyane akeh uga sing tumindak sumelang kaya Ika.,Bu Ida sing ngerti rasa kuwatir murid-muride mung bisa mesem ngerti.,Bu Ida sing ngerti rasa kuwatir murid-muride langsung niat nelpon kepala sekolah.,jv
Sangu saben wulan Kori wis entek durung wayahe,Kori mung tuku akeh barang ing toko online,Kori arep dekorasi kamare,Ibu-ibu bakal nesu yen dhuwit kanthong anak cepet entek,Ibu ngece Kori amarga boros,Ibu tuku barang Kori ing toko online,jv
Rifani ketemu mantan pacare,Ken kaget karo anane mantan pacare,Rifani ngajak Ken ngobrol ing restoran,Rifani crita karo Ken lan kosok balene,Hubungane Rifani lan Ken tetep apik senajan asmara wis rampung,Ken wis tau pacaran sadurunge,jv
Fio pengen banget dadi murid model,Fio saingan karo siswa liyane,Fio wis mesthi dikenal minangka murid sing manut banget marang guru,Fio menehi upaya sing paling apik kanggo dadi mahasiswa model,Fio tansah duwe motivasi kanggo dadi sing paling apik,Fio luwih dikenal minangka murid sing nglanggar aturan,jv
Mbak Santi duwe hobi anyar nandur kembang,Dheweke nandur mlathi lan mawar ing plataran ngarep omah,Akeh wong sing seneng tanduran Santi,Ora jarang wong mampir takon arep tuku kembange Santi,Hobi Santi menehi tambahan penghasilan kanggo Santi,Santi saiki lagi nandur pari ing kebon mburi,jv
Hiro duwe wadhuk banyu ing omahe,Banyu ing omahe Hiro ora bisa urip,Omahe Hiro ngalami pemadaman listrik,Kulawargane Hiro isih bisa nggunakake banyu kaya biasane,Wadhuk banyu ing omahe Hiro migunani banget kanggo kulawargane,Hiro ora bisa adus utawa ngomb&#xE9; nalika lampu mati,jv
Jihad nonton pertunjukan sulap,Jihad sinau trik sulap sadurunge,Jihad penasaran lan pengin nyoba,Jihad diundang ing panggung dening tukang sihir,Jihad nindakake trik sing padha karo tukang sihir,Jihad ora kasengsem ing trik sulap,jv
Kulite Nadia kobong,Nadia kudu kerja ing srengenge panas,Kulite Nadia wiwit ireng,Nadia ora duwe pilihan liya,Nadia iku pekerja keras,Nadia ora tau gelem kerja,jv
Yohana weruh bayangane ing lemah,Yohana wedi karo wewayangane,Yohana ngeluh marang ibune yen ana sing nututi dheweke,Ibu nerangake marang Yohana babagan kedadeyan wewayangan,Yohana ngerti lan ora wedi maneh karo wewayangane,Yohana disusul memedi,jv
Shana ngarep-arep yen nasibe ana ing sisihe,Shana kepengin ketemu wong sing pancene tresnani,Shana tansah ndedonga supaya padha ditakdirak&#xE9; kanggo bebarengan,Shana ketemu wong iki sawise 2 taun pisah,Nasib ana ing sisih Shana,Shana ora perduli maneh karo wong sing ditresnani,jv
"Wiwit cilik, Mamat nandhang asma",Asma dheweke mumbul yen kena bledug utawa kumelun,"Yen kena bledug utawa kumelun, dheweke bakal sesak ambegan",Mula saben metu saka omah nganggo topeng,Dheweke uga sregep ngresiki kamar supaya ora akeh bledug,Dheweke tuku sapu kanggo mbusak bledug ing dalan,jv
Vida nempelake kertas ing tembok kelase.,Kertas kasebut ngemot pengumuman tanggal ngumpulake kertu laporan.,Vida uga mbagekake undhangan resmi marang wong tuwa.,Vida nyelehake undhangan loro ing saben meja ing kelas.,"Vida dikongkon wali kelase nglakokne kabeh iki pas kelas PE, mula kelase kosong.",Vida dijak wali kelase njaluk sumbangan marang kanca-kancane.,jv
Rian wis kesel manggon ing omah kontrakan karo kanca-kancane,Kanca-kancane padha males resik-resik omah,Malah males resik-resik barang,Nyewane dadi reged lan rame banget,Rian ora betah manggon ing papan sing rame,Omah sing rame mbukak kesempatan kerja kanggo wong liya,jv
Kris njaluk kesempatan kapindho marang Puput,Kris janji ora bakal mbaleni kesalahan sing padha,Puput ora percaya karo omongane Kris,Puput milih ninggalake uripe Kris,Puput ora bisa menehi kalodhangan kaping pindho marang wong kang gawe salah marang dheweke,Puput menehi Kris kesempatan kaping lima,jv
Kei ora seneng film romantis,"Miturut dheweke, akeh film romantis sing klise banget",Alur critane uga alon banget,Nonton film romantis nggawe dheweke ngantuk,Dheweke luwih seneng film aksi tegang,Luwih becik ngombe kopi lan teh nalika nonton bioskop,jv
Rian lan Rino kembar identik sing saling melengkapi,Rian pinter banget ing mata pelajaran sains lan Rino ing mata pelajaran sosial,"Sajrone tes saben dina, Rino lan Rian kerep pindhah panggonan kanggo entuk asil sing apik",Dheweke ditemokake amarga nilai ujian bebarengan beda karo tes saben dina,Wali-wali kelase dhewe-dhewe paring wejangan marang wong loro iku supaya ora nindakake maneh,Wong tuwane bangga yen anake pinter,jv
Widya saiki wis duwe dhuwit.,Dheweke kepengin tuku laptop anyar.,Laptop lawase rusak.,Laptop asring ndadak mati ing tengah-tengahe Widya nindakake pakaryan.,Widya arep tuku laptop sawise kuliah.,Widya arep tuku laptop lan HP.,jv
Tori lali nutup gorden jendela kamare,Udane deres banget,Tori weruh bledheg saka njaba jendela,Tori panik lan langsung nutup jendela,Tori wedi nalika weruh bledheg,Kamare Tori ora ana jendhela,jv
Fanya luwih seneng mangan pitik,Fanya ora seneng iwak,Fanya tansah nyingkiri dhawuh mangan iwak,Gibran meksa Fanya mangan iwak,Fanya ora gelem meksa Gibran,Fanya tansah mangan iwak saben dina,jv
Rizky nabuh suling hadiah saka kancane,Rizky bisa sinau cathetan suling kanthi cepet,Rizky nuduhake kancane sing lagi dolanan suling,Kanca-kancane Rizky bangga karo kemampuane Rizky,Kancane Rizky menehi hadiah sing pas marang Rizky,Rizky dudu wong budheg,jv
Amy nantang Kara,Kara bakal entuk hadiah yen dheweke kasil ngliwati tantangan kasebut,Kara ora sabar ngenteni tantangan iki,Amy nyetel tantangan gampang kanggo Kara,Kara bisa ngliwati tantangan lan entuk hadiah,Kara entuk hadiah saka Amy kaya ngono,jv
Kezia menyang supermarket,Kezia arep tuku kebutuhan omah,Kezia nggoleki dhompet ing tas,Kezia metu saka supermarket kanthi tangan kosong,Kezia lali ora nggawa dompete,Kezia tindak nonton film,jv
"Ing Korea, Ani, calon mantune Pak Budi, uga lagi lara ati.",Dheweke mikir kepiye rasane kekasihe nalika maca layang saka dheweke.,Anake Pak Budi kuwi wonge apik lan katon tanggung jawab.,"Nanging sayange, dheweke ora duwe papan ing atine Ani.","Sanadyan wis rada telat, Ani lega amarga wis mutusake hubungane.","Ani mbukak jendhela, arep mlumpat nanging kekasihe teka.",jv
Untunge nyambut gawe dadi tukang sapu,Dheweke wis ing profesi iki kanggo 5 taun,Dheweke ngakoni yen dheweke nindakake kanthi ikhlas,Kamangka penghasilane mung 500 ewu saben wulan,"Kanggo dheweke, proyek iki minangka berkah sing banget disyukuri",Untung asring sambat babagan pegaweyane dadi tukang sapu,jv
Feri bocah sing nggantheng lan bakat,Ora nggumunake amarga wong tuwane Feri minangka seniman top,Bapake musisi misuwur,Ibune minangka aktor film,Woh-wohan ora tiba saka wit lan saiki Feri wis dadi seniman cilik,Feri bocah cendhek sing tresna marang ibune.,jv
"Ing urip, aku mung duwe idola siji.",Dheweke ibuku.,"Dina iki ibu ulang tahun, aku arep menehi sepatu ibu.","Nanging, sawetara toko sepatu wis tutup amarga aku mulih saka kantor telat.",Akhire aku mutusake tuku mukena amarga aku kelingan yen mukena ibuku wis entek.,Ibuku nyambut gawe dadi guru ing SD.,jv
Lampu kamare Gera mati,Gera ora bisa sinau ing petengan,Gera njaluk bapake ngganti lampu kamare,Rama nuruti panjaluke Gera,Lampu ing kamare Gera bali padhang,Gera ora duwe kamar,jv
Peri seneng banget main game online,Peri nggunakake laptop kanggo ngakses game kasebut,Fairy kerep kelangan wektu nalika muter,Fairy luwih seneng ing donya game,Peri nglampahi wektu dheweke main game online,Peri bisa mbagi wektu kanthi apik,jv
Katresnan mbutuhake Alesan,Alva tansah nindakake samubarang tanpa alesan,Alva nolak pengakuane Marven babagan katresnan,Marven lara atine karo perlakuane Alva,Alva ora tresna marang Marven,Alva pungkasane pacaran karo Marven,jv
Pendidikan iku hak kabeh bangsa,Pemerintah fokus kanggo ningkatake pendidikan ing Indonesia,Siswa ngrasakake pengaruhe owah-owahan kurikulum,Kurikulum diowahi kanggo adaptasi karo kemajuan teknologi,Kurikulum ing Indonesia ora tau diowahi,Bocah-bocah jalanan ora duwe hak kanggo pendidikan,jv
Bengi iki dumadakan teka ing ngarep kosku lan nggawa jajanan.,"Kaya biasane, dheweke bakal nemoni aku yen wis bosen karo kuliahe.","&#x201C;Kowe ngerti ta? Ana sing bakal bosen tumindak ala yen diparingi kabebasan nglakoni,&#x201D; kandhane sinambi ngemil jajanan.","""Sapa sing ngomong iku teori?"" Aku mbantah.","&#x201C;Lha Jerman, luwih saka separo populasi iku ateis nanging bisa dikontrol dening manungsa&#x201D; Aku meneng krungu jawabane.",Dina iki dheweke nganggo jaket biru sing dakwenehake kanggo ulang tahune.,jv
Dwi sinau ing universitas negeri kanthi beasiswa saka wong sing cedhak karo dheweke,Dwi cedak karo wong sugih,Yoongi iku aktor kondhang sing kondhang amarga rupane apik,Yoongi kerep menehi dhuwit lan barang gratis kanggo wong sing cedhak karo dheweke,Yoongi nutupi biaya kuliahe Dwi minangka beasiswa,Dwi nyambut gawe Yoongi golek duit,jv
Yana lan mbakyune seneng banget mangan endhog,"Saben dina, menu panganan kudu kalebu endhog",Yana seneng banget karo omelet,Biasane dheweke nyampur endhog karo daging kornet,"Sauntara kuwi, adhine seneng banget karo endhog sunny side up",Adhine ora seneng mangan endhog bebek,jv
Arta wajib melu KKN,KKN iku singkatan saka Kuliah Kerja Nyata,Arta kudu ngabdi ing desa sing ditunjuk dening universitase,Arta kepengin migunani tumrap wong ing sakiwa tengene,Arta melu KKN sing dibutuhake universitas,Arta ora gelem melu KKN,jv
Ilyas nutup buku ing tangane.,Wis seminggu anggone maca buku.,Biasane Ilyas ora suwe anggone maca.,"Nanging, tugas kuliah sing akeh, tegese Ilyas mung bisa nyolong wektu kanggo maca.","Pungkasane, dheweke mung rampung maca buku sawise seminggu wiwit maca pisanan.",Akhire dheweke nyumbang buku.,jv
Aku mlaku liwat gedhong perpustakaan lawas nganti aku nyadari yen sikilku wis ngidak.,"Aku ngangkat sikilku, banjur aku weruh amplop pink.",Amplop mau isine kertas.,"Katon kaya layang katresnan, nanging ora ana jeneng utawa alamat sing dituju.","&#x201C;Nuwun sewu, amplop menika kagunganku,&#x201D; kandhane ana sing ambegan nyedhaki aku.",Akhire aku nyuwek kertas lan amplop.,jv
Komi kepengin nonton TV,Rama uga kepengin nonton TV,Komi durung nggarap PR,Rama wis nglakokake PR,Rama diparengake nonton TV dening Ibu,Rama kudu nggarap PR,jv
