sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Ayva ngaluncang di situ,Ayva boga babaturan alus di sawah,Babaturan Ayva ngaranna Si Ujang,Si Ujang teu tiasa ngaluncang,Ayva ngajarkeun Si Ujang kana ngaluncang,Si Ujang teu hayang babaturan jeung Ayva
Siska geus lila teu ngalakon tradisi Sunda,Ayeuna anjeunna kaleuwihan beurat ku sabab anu teu sehat,Awakna beurat jeung gampang capé lamun teu ngalakukeun gerakan tradisional Sunda kawas Jaipongan,Siska mutuskeun pikeun rutin ngalakon tradisi Sunda deui,Anjeunna dimimitian ti ngalakon gerakan ringan tradisional Sunda ngalakukeun,Anjeunna langsung ngalakon gerakan kawas Reog Ponorogo sapopoe
"Pamon Hana nu neuteup kana jandéla hareupeunana, ngadadak angin leuyuan.",Lawang dibuka deui.,Lawang ditutup deui.,Hana saré pisan.,"Hana kakara saré salila 2 jam, ayeuna manéhna kudu aya di kantorna pikeun rapat.",Hana hayang dahar kupat tahu.
"Ben néangan konci imah di unggal juru imah, nu ayeuna ngaranna juru imah tradisional Sunda","Adina Ben mawa konci cadangan panungtungan, nu biasana disimpen di luar imah deukeut tempat panggantian baju","Ben mutuskeun pikeun duplikat konci imah nalika adina datang ka imah, sangkan teu kéréngan deui","Ben teu tiasa angkat sareng kedah aya di bumi, nu ayeuna dikenal minangka upacara Ngabungbang, tradisi masyarakat Sunda","Ben ngurus imah lantaran geus teu boga konci serep deui, terus ngagantos konci imah ku konci nu anyar","Ben ulin jeung babaturanana di gang boling, sanajan adina geus ngomong yén konci imah geus dipesen"
Aldo ayeuna ngalakukeun upacara adat nuju di Gunung Padang,Salah sahiji tradisi anu dituturkeun Aldo nyaéta ngahaturkeun sesajén ka leluhur,Aldo kudu bisa ménggékeun dirina ka nu ngepréskeun di tempat suci,Aldo tiasa ngalakukeun éta saé pisan kalawan pikeun ngeuyeubkeun jiwa,Aldo éta nu ngahormat tradisi adat pangalusna di komunitas,Aldo teu bisa ménggékeun dirina di tempat suci
"Anjog ka luhur, Nara inget kana es doger rasa durian nu dipaparinkeun ku batur.","Dina waktos éta aranjeunna ogé naek ka puncak gunung Tangkuban Perahu, anu tangtosna béda ti puncak anu didatangan ku anjeunna ayeuna.",Bandrek ieu ogé sering dipasihkeun nalika jalma gering di imah panggung.,Tapi ayeuna Nara henteu terang kumaha kaayaan jalma anu masihan es doger rasa durian.,"Mudah-mudahan anjeunna henteu kunanaon kudu ka pasar malam Lembang,",Nara lesot lantaran taneuh leueur luhureun puncak Kawah Putih.
Dany resep pisan tuang peuyeum,Ibu masihan seueur peuyeum ka Dany,Dany kedah ngabagikeunana sareng adina,Dany ngaréngsékeun peuyeum sorangan,Adina ceurik lantaran teu kabagean peuyeumna,Dany tuang peuyeum sareng adina
Aiden hésé pisan mikir sacara rasional nalika ngahadapan lawatan nu resep,Aiden sok nganggap kanyataanana nurutkeun kahayangna nalika ngajual parabot di Pasar Cihampelas,Aiden naif pisan ngeunaan kahirupan tani di pagunungan Ciwidey,Aiden henteu paduli kana kasalahanana nalika ngalanglang di walungan Citarum,Aiden sok nyalahkeun batur nalika ngajaga lombang di tempat wisata Tangkuban Perahu,Aiden bisa narima kanyataan nu teu luyu jeung kahayangna nalika nyingkahan ngariung ka Gunung Lawu
Mario indit ka imah Lembur urang.,Aranjeunna parantos jangji badé maén Degung babarengan soré ieu.,Kagiatan ieu ngahaja jadi rutin di Kampung Naga.,"Mimitina, Lembur ngan ngajak Mario ka imahna pikeun senang maén Jaipongan.",Tapi katingalina aranjeunna resep pisan yén aranjeunna janten rutin unggal sabtu minggu di Pantai Palabuhanratu.,Tapi tétéla maranéhna téh nu boga warung di Pasar Kagét.
Robin gelut jeung Jason di alun-alun Kota Bandung,Jason ditinju Robin dina rahang nalika poé kamis di Pasar Baru,Jason kesel ku kalakuan Robin anu ngajual es kacang rebus anu teu lumer,Robin ngabales perlakuan Jason anu ngajual siomay anu henteu enak,Robin jeung Jason geus gelut fist nepi ka poé panén raya,"Robin teu bisa ngalawan, terus mundur ka arah Gunung Tangkuban Perahu"
Zira urang Sunda pinter ,Anjeunna salawasna hayang jadi batur tukang ngawih ,Anjeunna salawasna nyobian ngawih jeung ngalungkeun rengrengan wayang ,Rumaja éta digawé teuas ku diajar sarta ilubiung dina sagala rupa kagiatan tradisional Sunda ,Kateguhan Zira jadi panutan pikeun masarakat Suku Sunda ,Upami aya batur Sunda anu langkung pinter ngawih ti Zira bakal nyéépkeun anjeunna 
"Naha anjeun yakin yén batur bakal robah unggal poé? Sakumaha biasa, anjeunna sok pinter muka topik obrolan ngeunaan tradisi Sunda.","Enya, jawab kuring bari nyiuk cau nu karek dibeuli di Pasar Cimout.","Maksudna anjeun moal nahan dendam lamun aya anu nganyenyeri anjeun, sabab bisa jadi hasil tina pikiran kamari, contona siga kana ngarasa teu puas kana hasil Pilkada di Jawa Barat.","Hmm, anjeun leres, meureun kuring teu kedah mungkas silaturahim ngan kusabab masalah kaliwat, contona kana perayaan Sunda wiwitan bulan Puasa.","Abdi ngartos, hal anu goréng pasti bakal langkung seueur kesan. Tapi cobian nampi pangapunten, kuring baris mawa sangu anu séjén pikeun anjeun di imah.","Muhun, hayu urang naek motor, urang telat ka Upacara Seren Taun di Kabupaten Bandung."
Dinten ieu Khanza ditegor ku atasan na di Pasar Baru Bandung,Anjeunna ngalakukeun kasalahan dina padamelan anu dipasihkeun dua dinten ka pengker taya ulah ngolah kopi,Laporan anu didamelna henteu saluyu sareng standar perusahaan taya ulah ngitung pendapatan,Luhurna naroskeun ka Khanza pikeun ngabenerkeun laporan anu didamelna sangkan teu kacau,"Khanza nyuhunkeun dihapunten tina lalaworana sareng ngabenerkeun laporanana, tuluy nanda keur ngariung","Khanza keuheul sabab ngarasa salah jeung nolak parentah atasannya, tuluy ninggalkeun pagaweanana di kantor"
Ujang hayang nginum bandrek,Ujang mendakan bandrekna di dalem leuit,Ujang nyeuseuh jeung mesek bandrek,Leungeun Ujang ngadadak getihan,Ujang keuna ku peso bari mesek bandrek,Ujang henteu resep sayuran sareng buah
Sarerea bakal meunang kaayaan anu geus dibikeun pikeun upacara adat Sunda,Rosi ngabohong ka babaturanana ngeunaan asal-usul batik Sunda,Rosi teu hayang karunya ngaranna teu disebatkeun di pesta Degung,Rahasia Rosi kabongkar lantaran kaceuceubna sorangan ngeunaan resep dodol Sunda,Rosi geus teu dipercaya deui ku babaturanana ku lantaran ngahianat tradisi Sunda,Rosi geus jujur ka babaturanana ti mimiti ngeunaan rahasia masak karedok Sunda
Emmy néangan sapu tulisna di saung,Emmy henteu mendakan sapu tulisna,Emmy nanya ka jalma-jalma di lembur,Jirai manggihan sapu tulis Emmy,Emmy hatur nuhun ka Jirai,"Emmy sedih yén sapu tulisna leungit sareng henteu milarian deui, terus ngadangukeun ka Batara Tunggal"
Tati nyaéta anak pamungkas ti tilu murangkalih.,"Adina nu kahiji, Tono, geus kawin jeung cicing di kota Bandung.","Lanceukna kadua, Asep, nembé lulus ti Universitas Padjajaran kalayan gelar sarjana.",Asep sareng Tati umurna 5 taun.,"Tati masih di SMA ayeuna, terus nuluykeun ngalengkepan kawruhna di sakola.","Tati masih di TK ayeuna, terus nuluykeun ngalengkepan kawruhna ngaliwatan dongeng rakyat Sunda."
"Sok-sok tingali ka daérah-daérah séjén, contona kampung Leuwiliang urang,",Aya naon di kampung anjeun?,"Aya loba. Aya laut, pulo Nusantara, gunung Salak, walungan Citarum, situ laut hirup, curug Cimahi...","Hmmm, meureun di daerah sanes aya teu?","Aya atuh tangtosna, kawas tradisi ngawangun jeung ngabungbang,","Sabenerna kuring asalna ti Jakarta,"
Meta resep pisan nasi timbel,Gina teu resep nasi timbel,Meta ngajak Gina ka imahna rék ngajak ka acara hajat,Meta nawarkeun nasi timbel ka Gina,Gina gently nampik tawaran Meta urang,Gina kapaksa ngadahar nasi timbel
Soré éta panonpoé panas pisan di pagunungan Tangkuban Parahu,"Sanajan kitu, palajaran maén paga di sawah dituluykeun",Fiona panas jeung kulitna beureum lantaran keur ngaleueutkeun padi,Ngadadak mimisan usum jalan,Guru olahraga nya nitah Fiona indit ka balé kacamatan pikeun ngumpeuk balad,Guru senamna ngirangan nilai Fiona kusabab mimisan nalika maén paga
"Imah Amira ayeuna poek pisan, ngagantung kaulinan kénca-kénca di hareupeun imah","Hésé pisan cahaya panonpoé asup ka imahna, katingali keur ngeusi jendela bengong","Tatanggana sabudeureun imah keur ngarenovasi imah, nambahan tingkat anyar pikeun ngagarap nu anyar","Imah tatangga direnovasi jadi dua tingkat, ngaléngkepan ka imah panggih nu séjén","Balukarna cahaya panonpoé asup ka imah Amira kahalang ku imah tatanggana, nu ngabédakeun ka duaan imah nu béda","Imah Amira tilu lanté, sabenerna mah teu kungsi diwangun ku tatanggana"
Hyde nyaéta panglawung,Hyde bakal jadi wawakil dayeuh pikeun kompetisi ngalaén nasional,Hyde ngalaman patah nalika ngalaén,Hyde maksa dirina ngalaén,Hyde teu bisa ngagéséngkeun sukuna sanggeus ngalaén,Hyde ngalaén teu kungsi katénjo pisan
Reno mindeng teuing puguh ganti baju batik Sunda na,"Sanajan késang ngalakukeun ibadah di mesjid atawa baseuh di kolam renang, manéhna teu ngarareunah","Hasilna, Reno mindeng meunang tinea versicolor di punggungna sanggeus ngajaga sawah",Punggungna gatel sareng pinuh ku tinea versikolor anu ngaganggu kagiatan nunda di alam terbuka,Anjeunna kedah rutin ngolesan tonggongna ku salep tradisional Sunda pikeun ngubaran paniekna,Punggung Reno dihias indah ku tinea versicolor anu jadi motif batik Sunda anyar
"Moal lami deui, lanceukna Leo urang bakal ulang taun di Dago Teah, Bandung",Lanceukna resep pisan kana lauk bakar na jeung sambel dadakan,Malahan budak leutik sok make baju motif batik Sunda,Leo ngarasa yén lanceukna leutik anu resep lauk éta pisan pikaresepeun di tempat wisata ciwidey,"Ku alatan éta, Leo meuli adina lauk leutik salaku kado hiji nu dibungkus ku sajarah Sunda","Dina ulang taunna, Leo nempatkeun lanceukna dina saung nu dijieun tina bilik papyrus ku anu sapertos di kampung halamanna"
Dori meunang mobil anyar keur ulang tahun nu ke-17,Dori diajar nyetir mobil ku bapana,Dori indit ka jalan gedé nuju Ciater,Dori eureun nalika lalulintas robah beureum di simpang Subang,Dori nyoba taat aturan lalulintas pikeun ngajaga kasalametan urang réa,"Dori terus ngebut nalika lampu lalulintas beureum, ngalanggar aturan jalanan nu tangtos"
Rina teu make sandal sasapu,Dampal Rina nincak pakis,Dampal suku Rina ngaluarkeun getih,Rina ngagaduhan inféksi,Tapak Rina katépaan ku pakis nu ditincak,Suku Rina bisa nahan objék naon waé
Suku Rayana tijalikeuh di pabrik batik nu aya di Bandung.,"Rayana ragrag bari maen futsal tadi isuk di lapangan Dépok, kota Bandung.","Ayeuna sukuna nyeri nalika leumpang, ngira-ngira kudu pirobek kana dokter.",Rayana soré ka klinik kampus jeung Novian babaturan futsalna nu asalna ti Cianjur.,"Novian geus jangji baris marengan manéhna alatan manéhna teu bisa leumpang tanpa bantuan, pahali na keur midang.",Novian geus jangji rék meuli sapatu futsal anyar nu dipaké ku pemain Persib Bandung.
Izzati pernah ngajaos sesajen ka leluhur di buruan,Indungna Izzati mindeng ceurik peuting nalika Izzati keur ngajaos,Izzati sono pisan ka tradisi ngajaos,Indungna Izzati henteu kantos nyarios ka kuring ngeunaan asal-usul budaya ngajaos,Izzati téh warisan budaya Sunda ti masyarakat adat,Ngajaos téh tradisi asal ti nagara sebelah
Padahal Nanda geus diingetkeun sangkan tartib dina leumpangan ka Ciater,"Tapi, manéhna teu ngadéngé",Nanda ditikétan teu maké sarung kuping,SIM Nanda kudu disita ku babinsa,"Pikeun nyandak deui, Nanda kedah ngahadapan bapak Kepala Desa",Nanda ngajual angklungna lantaran teu boga SIM
Buku Mila awut-awutan kieu kieu,Baturan ngan ukur nempelkeun karét kana buku Mila nu aya di lembur,Buku Mila ayeuna mah awut-awutan pisan,Karét téh hésé dicabut ku lantaran lésang,Buku Mila kudu dibabat kanggo nyabut karét anu lésang,"Nalika ngadahar karét, urang tiasa ngabentuk balon anu éndah"
Hira rek nginum ku Kopi Hideung,Hira neangan bekel Kopi Hideung na,Stok Kopi Hideung Hira beak,Hira muru ka Pasar Cianjur,Hira meuli Kopi Hideung anyar di Pasar Cianjur,Hira masih gaduh 3 Kopi Hideung anu teu acan diinum
Avril kabur ti lembur ti Cianjur,Avril kudu ngadagoan pikeun nafkahkeun kulawargana nu dumuk di Bandung,Avril geus jadi tulang tonggong kulawargana saprak bapana maot nalika ngalakukeun upacara Hajat Sasih,Avril teu kungsi ngawadul bari ngadagoan di sawah pikeun ngahasilkeun pare lumat,Avril senang ngajalan karya jalanan pikeun nepang ku naon anu aya di Pasar Baru Bandung,Avril ninggalkeun imahna pikeun ngagantung di gunung Tangkuban Parahu unggal peuting
Antukna Yoyo jeung Zian ngadéngékeun sagala nu aya di tempat ngajian Sunda.,"Geus aya di lembur, tapi geus nangtung hareupeun panto imah adat.",Sedengkeun anu séjén dina posisi ngiring di lantai nu aya ukiran tradisional Sunda.,Yoyo jeung Zian bingung kudu kumaha cara silih bébéjakeun naon nu katingali dina vidéo nu némbongkeun upacara adat Sunda dina CCTV.,"Sanggeus ngadéngé sagala carita Acha nu ngomongkeun ngeunaan pantangan Sunda, jeung ningali réaksi Tarra, maranéhna ngarasa lega.","Sanggeus ngadéngé sagala carita Acha nu ngomongkeun ngeunaan pantangan Sunda, jeung ningali réaksi Tarra, maranéhna ngarasa lapar jeung hayang dahar karedok."
Urang tiasa janten sapertos jalak Sunda,Urang tiasa ningali dina wanci peuting,Urang ngalatih dirina pikeun ngabiasakeun wengi,Urang tiasa nganggo indra pangsora pikeun ngadeteksi lingkunganana,Urang bisa nangtukeun posisi musuhna dina wanci peuting,Urang ukur bisa ningali dina wanci caang beurang
Azhar milu pasanggiri jaipongan,Azhar bisa nyieun lagu Sunda pikeun mantuan musisi Sunda,Azhar dianggo salaku hiji kelompok seni Sunda,Kelompok Azhar meunang kompetisi tari Sunda,Azhar sareng kelompokna ngagungkeun kameunanganana di panggung Sunda,Azhar miluan kompetisi wayang golek nyalira
Ika jadi saksi panggunaan madat di Pasar Baru Bandung,Ika dibawa ka kantor pulisi pikeun dipariksa di Banda Saksi,Ika kudu ngalaporkeun sagala kalakuan nu katingali ka ajun pulisi,"Ika nyarioskeun sadayana kalayan jujur, siga nu dibawakeun ka pengadilan di Kabupaten Bandung",Ika ngajadikeun palaku madat di Bandung dihukum beurat pikeun nganggeuskeun panggunaan narkoba di masyarakat Sunda,"Ika jadi tukang dagang madat di daerah Ciroyom, Bandung"
Kulawarga Mina nyaéta kulawarga musisi Sunda,Nini Mina nyaéta saurang pamaén kecapi,"Nalika anjeunna ngora, kolotna Mina ngagaduhan gamelan","Samentara éta, lanceukna Mina nuju diajar suling",Mina ogé hoyong tiasa maénkeun angklung,Degung téh alus pikeun ngembangkeun otak fétus
Pamela leumpang ka lomari kantor rék nyiduh bandrék Sunda.,"Wanci dahar beurang geus anjog, wanci pikeun ngadahar nasi timbel.","Tapi Pamela teu ngarasa lapar, ngan hayang nginum cai panas sanggeus ngalongok pasar Cianjur.","Sesampainya di pantry, Pamela tepungan Joshua anu keur ngagolakkeun cai panas keur sééh kopi Jaén.",Maranehna galecok bari nungguan cai ngagolak sambil ngobrolkeun ngeunaan upacara Seren Taun.,Omong-omong ogé bari ngadahar Loték has Sunda.
Fina bakal ngalakukeun poto sareng rencang kaos batik,Fina ngagem baju kebaya anu rapih sareng sampurna,Fina hayang jadi ratu adat Sunda,Fina daék nahan diri teu pira di acara adat Sunda,Fina jadi sorotan lantaran kabisa ngigel Jaipongan,Fina ngan hayang némbongan normal dina acara buku taunan sakola
"Tama ngarasa lapar sanajan jam geus nunjuk 12 peuting, sabab kaciwangan di Pasar Baru geus tutup.","Tama nyoba nahan rasa lapar, tapi beuteungna nganggeus nyaritakeun carita ngeunah.","Sajam kaliwat, Tama masih teu bisa saré sabab beuteungna terus ribut ngomongkeun wawacan wayang.",Tama nyandak sesa keripik bawang ti soré ieu anu aya dina méja di kamarna sambil ngadéngékeun gending kacapi suling.,"Kripik bawang tétéla béak, sangkan Tama maksakeun dirina bangun néangan kadaharan séjénna, saperti kupat tahu ti pagi.","Keripik bawang dipénta ku Rana, lanceukna, pikeun dibawa ka acara hajat di kampung maranéhna."
Wanda ngarasa keuheul lantaran ditipu waktu ngajual batik di pasar online.,Batik-balik sajarah Sunda anu dibeli Wanda online kakara datang.,"Tétéla aya sababaraha batik anu henteu aya dina bungkusan saatos dibuka, kawas batik parahyangan anu dipikaresepna.",Wanda nyobaan ngahubungi toko tempat meuli batik Sunda.,"Wanda beuki keuheul lantaran warungna teu ngajawab teleponna, ngan ukur ngirim SMS.",Wanda beuki keuheul lantaran kacarit uluk can dahar nasi timbel.
Geus jam 7 peuting Nina karék nurut tanpa nanya kamana dibawana ka tempat pesta ngarak Ngabogo,"Tapi béda jeung biasana, waktu ieu Dani ngan cicing di sapanjang jalan nuju ka Taman Budaya Sunda","Teu lila, Dani ngeureunkeun motorna di tempat anu rada sepi deukeut Masjid Agung Bandung","Hayu,",Nina reuwas ningali éndahna lampu-lampu dayeuh sanggeus nepi ka tungtung tangga nu aya di kawasan wisata Dago,"Di jalan, aranjeunna papanggih jeung salah sahiji babaturan Dani nu keur ngajual batik tulis khas Sunda"
Dodi mangrupakeun nu ngarang geus loba pengalaman di pagelaran reog Ponorogo,"Anjeunna gaduh pangalaman jero ngeundeang sababaraha jenis waditra Sunda, kayaning tarawangsa jeung calung","Upami aya masalah dina pintonan budaya, sadayana naroskeun ka anjeunna",Anjeunna ogé bageur jeung loba ngajaga adat jeung tradisi Sunda,Urang Sunda bangga jeung anjeunna,Dodi baris di usahakeun ku urang Sunda sabab anjeunna teu terang
Peuting ieu Diana sedih kawas ngarasa leungeun béréndéan.,"Anjeunna karek ditinggalkeun ku jalma anu anjeunna resep, nu jadi pangadilan pikeun anjeunna.","Diana nelepon ECI pikeun nganyatakeun sagala keluhan na, méré kasempetan ECI pikeun marengan.","Eci méré naséhat sangkan Diana teu sedih deui, ngarah anjeunna bisa melak pikeun ngaleungitkeun sedih.","Tapi Diana masih sedih jeung teu bisa narima pamadegan séjén, ngalakonan anjeunna ngagantung kana kenangan baheula.","Diana sabenerna gadis bageur jeung kuat, tapi teu bisa nampik sedih nu ngarayap di haté."
"Pikeun Fiona, kosmétik sanés ngan ukur alat pikeun dandan, tapi ogé ngandung filosofi Sundanesa 'beauty is a reflection of the soul'","Kosmétik mangrupikeun bagian penting tina tujuanana pikeun nyiptakeun keserasian antara inner beauty sareng outer beauty, sapertos konsep Sundanesa 'rereongan' (harmony)","Fiona resep pisan kana pilem fiksi, khususna anu témana alien, anu bisa ngahibur jeung ngahudang inspirasi","Anjeunna hoyong pisan janten juru rias pikeun aktor sareng aktris pilem fiksi, anu bisa ngahasilkeun tampilan anu kreatif sareng inovatif","Fiona ngahadiran sababaraha kursus makeup pikeun diajar makeup khusus, kawas makeup tradisional Sundanesa 'sundanese bridal makeup'","Manehna oge hayang jadi aktris, tapi bingung milih peran anu tepat pikeun dirina"
Mella téh pencinta sato anu asalna ti Tatar Pasundan.,Mella gaduh sababaraha piaraan di bumi anu perenahna di Kabupaten Bandung.,"Aya ucing, kelenci sareng hamster anu dipiara ku Mella ti leuleutik, anu dibéré ngaran ku lalaki Mella tina ngaran panganten di Priangan.","Ucing nu ngaranna Milo téh pangkolotna, dibandingkeun jeung kelenci jeung hamster nu umurna kakara 6 bulan, anu masih kénéh kawas budak leutik Sunda.","Milo pas 1 taun, tepatna mangsa hujan di Pasundan.","Milo sasih 5 bulan, teu jauh ti mangsa paddy di sawah Sunda."
"Sabenerna, Rio geus leres ngalaang saos kacang","Unggal ngalaang saos kacang, rasana loba pisan","Sakapeung, rasa kacang anu dahsyat pisan","Tapi, dua sobatna teu tega pikeun jujur ka Rio",Aranjeunna hariwang yén éta bakal ngajantenkeun Rio sedih,Saos kacang Rio cocog pikeun rasa maranéhanana
Elisa resep ngumpulkeun kawih Batavia,Kawih Batavia anu dikumpulkeun anjeunna dicandak sacara acak,Anu mésér henteu tiasa nyarioskeun lirik naon anu aranjeunna kéngingkeun dugi ka muka kaset,Kaset dijual boga runtuyan nu bisa dikumpulkeun,Elisa hoyong gaduh sadayana séri kawih Sunda,Elisa meuli stasion radio pikeun ngumpulkeun sagalana kawih Batavia
Dira naék sapédah ka pasar Banceuy,Fina naék motor ka situ Cimahi,Kesya asup kana mobil ka Bandung Supermal,"Késya, Dira, jeung Fina rék ngariung ka warung kopi di Dago","Kesya, Dira jeung Fina teu naék kana kandaraan nu sarua ka acara Ngabuburit",Dira asup kana mobil Kesya ka Upacara Seren Taun
Lumbu di imah Vely acak pisan,Vely meuli lesehan tina pasar tradisional,Vely nempatkeun lumbu-lumbuna dina lesehan,Imah Vely jadi rapih pisan,Vely henteu deui kasulitan milarian lumbu-lumbuna,Teu aya anu robih ti imah Vely
Saputra rék ngajalankeun hajat nuju Leuwi Panjang,Saputra masih can yakin kana kaputusanana,Saputra hariwang teu tiasa ngalaksanakeun tugasna di pamaréntahan Kabupatén Bandung,Efa ngayakinkeun yén Saputra sanggup ngajaga tradisi Jaipong,Efa ngadukung kaputusan Saputra pikeun jadi ketua paguyuban rékaos di Dayeuhkolot,Efa ngalarang Saputra ngajalankeun hajat nuju Leuwi Panjang
Asna anak katilu ti opat sadulur nu cenderung ngarerebkeun kasenian Sunda,Ayeuna anjeunna nuju kelas 3 SMA jurusan Seni Budaya di Bandung,Duanana lanceukna patugas pamarentah daerah ngurus kebudayaan,Geus jadi tradisi di kulawargana budak lalaki jadi penari Jaipongan,Asna moal neruskeun atikanana jadi penari Jaipongan,Adina Asna anu kadua awéwé nu pinter ngawih pantun Sunda
Panjul meunang penghargaan dina ngaguru basa Sunda,Panjul resep pisan kana kasundaan,Panjul meunang ondangan ka Pasanggiri Basa Sunda tingkat provinsi,Panjul bakal ngawakilan Jawa Barat pikeun Pasanggiri Basa Sunda tingkat nasional,Panjul mangrupa juara lomba basa Sunda,Panjul kudu ngahaturkeun carita pantun pikeun ngahontal gelar Master Basa Sunda
Cella meuli paré Hujan di Pasar Baru,Hujan bagja pisan ku lantangna,Cella resep ngabagi ka baturna bilih ngariweuh,Cella henteu sombong ku hartana anu loba,Cella téh sobat anu bageur jeung teu sombong,Hujan ngahutang perhiasan ka Cella di Dalem Tengah
Dinten ieu Deni ngahaja sumping ka kuring sareng masihan kuring surabi sangu bodas.,"Deni gancang datang, langsung mikeun cikopi bari nyeungseurikeun, tuluy ngajauhan ka arah leuweung sapanjang jalur Citarum.","Kuring nu narima cikopi teh bingung ku sikep Deni, tapi kuring oge rada seuri bari nempo tonggong Deni ngajauhan kuring ka tempat nu aya batu nu ngawangun wanda wisma di Gunung Tangkuban Perahu.","Teu nyangka Deni ngalakukeun hal romantis siga kieu, siga nu dibéréta dina dongeng carita rakyat Urang Sunda.","Kusabab di sakola anjeunna katelah lalaki anu hate baja, tiis tur ambek siga wayang Arjuna.",Deni jempé ningali kuring ka tempat nu rami ku kembang kantong semar di kebon nu ngagantung di lembur tebing.
Tifani boga wayang golek anyar,Gia nginjeum wayang golek Tifani,Tifani néangan wayang golek anyarna,Tifani ambek ka Gia di Pasar Cikidang,Gia teu kenging nginjeum wayang golek Tifani,Tifani mikeun wayang golekna ka Gia
Soré éta manéhna kaluar ti kamar mandi kalayan beungeut baseuh sasampé ti keur ngalongok di sawah.,Geus nyeuseuh kesang atawa nyeuseuh cimata anu ngamungkinan ngirut leuleueur kuda?,Saperti biasa jawabanana ngan seuri manis siga euweuh kajadian di Pasar Jeumpa.,"Tuluy kuring nyampeurkeun ka manéhna nu keur nyiduh bandrek haneut sanggeus datang ti kamar mandi, ngalantungkeun bungkus kacang rebus.","Ulah terus nyumputkeun masalah, sakurang-kurangna ku jalan carita bakal lega, silih asih silih asuh ceuk kuring.",Anjeunna nempatkeun sababaraha baju kotor kana mesin cuci.
Harga sapatu kulit sapi target Inez langkung mahal tibatan harga sateuacana.,Hargana beuki mahal tibatan harga baju batik di Pasar Baru.,Inez teu gaduh tabungan anu cekap pikeun ngagaleuhna sateuacana di Imah Sentosa.,"Inez nangtung cicingeun di hareup sapatu coveted nya, pamikiran ngeunaan naha manéhna kudu nyimpen leuwih atawa ngan meuli baju batik pikeun upacara adat.","Tungtungna, Inez leumpang kaluar ti warung jeung dimaksudkeun pikeun nyimpen nepi ka manéhna bisa meuli sapatu manéhna hayang pikeun ngiring iringan upacara adat.","Ahirna, Inez meuli sendal dua nepi ka wareg sateuana di Pasar Cimout."
Tristan boga rasa sieun lamun ngadéngé guludug di gunung Tangkuban Perahu,Trauma Tristan dimimitian nalika ucingna katarajang kilat waktu ngalanglang ke tempat wisata Situ Patengan,Tristan kaleungitan ucingna di pasar Leuwipanjang,"Dinten ieu hujan jeung kilat, nepi ka Tristan teu bisa ngajak ucingna ngalanglang ka kawah putih",Tristan nyéépkeun waktos ngajerit sieun ayeuna di imah nuju ngadepkeun kecamatan Cimenyan,"Tristan nangkeup ucingna nalika sieun di tengah-tengah permainan tradisional Sunda, yaitu permainan Sapi-Sapi"
"Niko ngajak ka lanceukna, Oki, ka Upacara Seren Taun di sawah deukeut imahna.","Langit mimiti kabur, pertanda yén hujan bakal turun ngancuran acara.",Oki teu daékeun balik ka imah sanajan Ema geus waktuna ngajemput pikeun ngahadiahan jamuan.,"Ku kituna, Ibu ménta tulung ka Niko pikeun ngabujuk Oki pikeun eureun maén sarta balik ka imah sangkan teu kakeueum hujan.","Oki hese dibujuk, Niko kapaksa ngareret Oki ka imah lantaran sieun hujan ngancuran baju has seren taun.","Oki, nu hese dibujuk, ngajadikeun Niko heran lamun manehna hayang boga dulur sejen nu bisa ngiringan ka upacara seren taun."
Gita resep ti Kadipaten,Mamah nyampeurkeun Gita ukur resep ti Kadipaten,Gita alesan yén manéhna resep saluran batik Tasikmalaya,Mamah ambek kénéh ka Gita,Gita sabenerna keur diajar bari resep ti Kadipaten,Mamah ngidinan Gita nginum bandrek
Pasar Suci Bandung ti beurang nepi ka soré sok ramé ku urang nu keur ngadagoan kadaharan.,Ningrum nu anyar ti leuleuwian katémbong keur ngararasakeun macét di sabudeureun pasar.,Saha nu nyangka yén macét di pasar bisa jadi hal anu dipikanyaah ku Ningrum.,"Ningrum diuk anteng dina jok angkot nu geus eureun sapinuhna, sirahna ngalieuk ka jandela.",Ningrum betah ningali lampu-lampu pasar jeung lampu-lampu warna-warni kadaharan nu dijual.,"Ningrum teu tahan macét di sabudeureunana, manéhna leuwih senang keur ngeusina peuting di rumah."
Ilham ngalakukeun tindakan plagiat karya sastra Sunda,Universitas Padjadjaran teu toleran plagiat naskah Sunda,Hukuman anu paling hampang pikeun plagiarisme nyaéta meunang ngaleleran ngajajar basa Sunda,Ilham katéwak ngalakukeun plagiat karya Raja Siliwangi,Ilham meunang E dina Kuliah Basa Sunda,Ilham ngerjakeun tugas naskah Sunda sorangan
Angga teu ngawaskeun wanci ka masjid,Imam hukum Angga pikeun teu datang sarengan,Angga kapaksa nangtung di luar masjid nepi ka solat Isya,Angga teu eureun-eureun ngabaca tasbih nepi ka waktosna balik ngariung,Angga teu bisa ngarasakeun waktos istirahatna,Angga mutuskeun teu ngajian deui
Reno resep pisan ngadahar soto bandung,"Unggal dinten, Reno tuang sahenteuna sakali batagor","Hiji waktu ngadahar soto bandung, can bérés dua bungkus",Anjeunna salawasna nambahkeun daun bawang kana soto na,"Upami anjeunna lapar pisan, anjeunna nambihan krupuk",Batagor kudu asak nepi ka asak
