topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4,generated_by,language
Art,Mbak Rini ora ketemu karo gamelan sing dicarike.,Mbak Rini tuku gamelan kanggo acara wisuda.,Mbak Rini pengen nggoleki gamelan,Gamelan iku saka budaya Jawa,Mbak Rini arep nggoleki gamelan kanggo acara wisuda,Mbak Rini nyoba tuku gamelan ing pasar seni,cohere,su
Traditional Games,Layangané Sinta malah mlebu ing pohon.,Sinta menang lomba layangan.,Sinta lan temen-temené arep main layangan,Sinta ora duwe layangan,Dhewé padha njupuk layangan sing wis ana,Sinta malah nyoba njupuk sing paling apik,cohere,su
Daily Activities,"Bioskop padha tutup saka jam 8 malem, nanging Bayu ora tau.",Bayu lan kanca-kancane nonton bioskop kanthi sukses.,Bayu lan kanca-kancane arep nonton bioskop,Bayu duwe tiket bioskop kanggo film anyar,Bioskop padha tutup saka jam 8 malem,Bayu lan kanca-kancane nonton bioskop,cohere,su
Pregnancy and Kids,Wulan lan keluarga nggawe slametan lan ngundang wong liya.,Wulan ora nggawe slametan amarga ora duwe wong kanggo ngundang.,Wulan wis lahiran anak lanang,"Wulan lan suami arep nggawe ""slametan""",Slametan iku tradisi pas lahiran,Wulan arep ngundang seduluran lan tetangga,cohere,su
Family Relationships,"Dina ngajeni Rara ngerti cerita wayang saka mula, lan Rara seneng banget.","Dina ora kersa ngajeni Rara, padahal Rara pengin ngerti.","Dina lan adike, Rara, padha seneng nonton wayang kulit","Dina pancen wis ngerti cerita wayang, nanging Rara mung seneng ngeliat wayang lan ora ngerti",Dina pengin ngajeni Rara ngerti cerita wayang,Dina mung kersa Rara seneng lan ora ngerti,cohere,su
Wedding,Dina ngerti lan nglakoni tradisi marang leluhur.,Dina ora ngerti lan ora nglakoni tradisi.,Wis dadi tradisi yen wong tuwa nate ngaturaken panggonan lan sesajen marang leluhur sabanjuru kawin,"Ning nganti saiki, Dina durung ngerti apa sing kudu disaji",Dina njaluk tulung marang budhe lan bibine,Dina kudu ngerti babagan tradisi lan budaya Jawa,cohere,su
Agriculture,Bayu ngerti kudu ngrespek keputusan warga.,Bayu ora ngalah.,Bayu dadi petani sing sukses,Bayu arep ngajak wong desane nandur jagung,Bayu ngajak musyawarah karo wong desane,Warga desane ora setujuan,cohere,su
Art,Bayu nggambarke wong tuwane lan dadi kenang-kenangan sing apik.,Dheweke ora duwe bakat kanggo nggambar.,Bayu pengin nggambar,Dheweke entuk inspirasi saka alam,Bayu nggambar ing kertas,Dheweke pengin nggambarke wong tuwane,cohere,su
Death,"Sawise disemayamake, mbok Rini bakal ditandu maneh marang kuburan.","Sawise mandi kembang, mbok Rini langsung disemayamake.",Wis wayahe mbok Rini arep mati,Mbok Rini arep nglakoni ritual mandi kembang,"Sawise mandi kembang, mbok Rini arep ditandu marang pendhapa","Sawise ditandu, mbok Rini arep disemayamake",cohere,su
Art,Sinta latihan nyanyi lan ngiringi dalang.,"Sinta ora duwe suara kanggo nyanyi, dheweke tansah ngimpi wae.",Sinta pengin dadi sinden,Sinden iku wong kanggo nyanyi lan ngiringi dalang,Sinden kudu duwe suara kanggo nyanyi,Sinden kudu ngerti cara ngiringi dalang,cohere,su
Religious Holiday,Kirab budaya iku wujud nguri-uri budaya leluhur.,Kirab budaya iku tradisi sing padha nglakoni saka rasa cinta marang budaya.,"Ninggal sasi, ing desaku padha nglakoni kirab budaya",Kirab budaya iku tradisi sing ngresepake siji saka nilai budaya Jawa,Siji saka nilai budaya iku saka rasa cinta marang budaya,Rasa cinta marang budaya kudu dipun ngerti lan dipun nglakoni,cohere,su
Traditional Games,Bayu ora bisa nglakoni tradisi layangan maneh.,Bayu nglakoni tradisi layangan.,Bayu main layangan,Layangane Bayu rusak,Bayu ora bisa nglakoni tradisi,Bayu ora bisa nglakoni tradisi layangan,cohere,su
Traditional Games,Dina lan Dina kudu nglakoni lomba maneh lan sae.,Dina lan Dina ora usah nglakoni lomba maneh.,"Dina lan Dina iku kembar, tapi siji pinter main egrang lan sijine pinter main gobak sodor",Dina iku seneng banget main bareng karo kanca-kancane ing alun-alun,"Dina lan Dina sae nglakoni lomba, tapi Dina iku ora entuk hadiah",Dina iku ora ngerti apa salahe,cohere,su
Wedding,Wulan lan bapake bakal nglakoni pernikahan lan nglakoni tradisi Jawa.,Wong tuwane ora setuju karo pernikahan lan ngucapke larangan.,"Ninggalake omah, Wulan lan bapake njaluk restu marang wong tuwane",Bapake Wulan ngucapke janji bakal ngrawat lan nglakoni kewajibane,Wong tuwane ngucapke restu lan ngasihake sumbangan,Wulan lan bapake matur suwun lan ngucapke janji bakal nglakoni pernikahan,cohere,su
Agriculture,Joko sabar ngajarake Jaka nandur padi.,Joko ora gelem nandur bareng Jaka maneh.,Joko lan Jaka iku sedulur sing arep nandur padi,Joko wis tau nandur saka wong tuwane,"Jaka, sing luwih muda, pengin nandur bareng","Sajrone, Jaka ora tau nandur lan nggandulake Joko",cohere,su
Death,Bayu ora gelem nggih undangan.,Kanca-kancane Bayu ora weruh yen dheweke ora gelem nggih undangan.,Bayu ora weruh yen kanca-kancane wis nggawe acara selametan,Bayu ora dijak,Bayu ora weruh yen acara iki kanggo bapake,Bayu ora gelem nggih undangan,cohere,su
Food,Rama ora tau mangan panganan sing tuku ing pasar.,Rama seneng karo panganane.,"Wis wiwit sore, Rama durung mangan",Rama munggah ing pohon asem,Rama metu ing pasar lan tuku panganan,Rama mangan panganan sing tuku ing pasar,cohere,su
Socio-religious aspect of life,Sedekah bumi iku wujud sasmita kanggo ngucapke sukur marang Gusti Allah.,Sedekah bumi iku acara kanggo nggawe opor ayam lan tumpeng.,"Dina iki, Ayu lan temen-temen sekolah nang SD nggawe acara sedekah bumi",Sedekah bumi iku acara nggawe opor ayam lan tumpeng,Opor ayam lan tumpeng iku disedekakake marang wong sing kurang mampu,Sedekah bumi iku acara kanggo ngucapke sukur marang Gusti Allah,cohere,su
Socio-religious aspect of life,"Dheweke nuntun janji karo kancane, terus nglakoni sedekah laut ing kono.","Dheweke mung nglakoni sedekah laut, lan ora dolan karo kanca-kancane.",Joko wis kadung janji karo kanca-kancane kanggo dolan,"Saben Jum'at Wage, dheweke kudu nglakoni sedekah laut","Dheweke bingung, soale dheweke pengen dolan karo kanca",Dheweke ora ngerti piye carane nuntun janji karo kanca lan nglakoni sedekah laut,cohere,su
Agriculture,Bayu ora weruh yen wis telat.,Bayu weruh yen wis telat.,Bayu dadi petani,Bayu ora weruh yen musim tanam wis entuk,Bayu ora ngerti carane ngolah sawah,Bayu ora weruh yen wis telat,cohere,su
Food,Sela lan kanca-kancane ngobrol sambi ngombe wedang ronde.,Sela lan kanca-kancane ora doyan wedang ronde.,Sela ngajak kanca-kancane ngumpul ing omah,Sela nyiapake wedang ronde,Sela lan kanca-kancane ngobrol asik,Wedang rondene ora kasil diarani,cohere,su
Family Relationships,Sinta ngajak Dina lan ibune ngobrol lan ngenalake ibune.,Dheweke ngelakoni Dina tanpa ngomong apa-apa.,Sinta lan ibune njagong ing pasar,"Sinta weruh temen sekolahé, Dina",Dina lan ibune ora ngerti Sinta,Sinta ora ngerti apa kanggo dilakoni,cohere,su
Food,Bayu lan kanca-kancane mangan ing warung sing luwih apik.,Bayu lan kanca-kancane nunggu warunge buka.,Bayu lan kanca-kancane arep mangan ing warung,Bayu ngajukake mangan ing warung sing murah lan enak,Warunge sing murah lan enak iku durung tau buka,Bayu lan kanca-kancane arep mangan ing warung liyane,cohere,su
Traditional Games,Bayu lan kanca-kancane tetep mainan lan nguri-uri budaya.,Bayu kalah lan ora gelem mainan maneh.,Bayu lan kanca-kancane mainan gobak sodor,Bayu seneng mainan karo kanca-kancane,Mainan gobak sodor iku salah sijine permainan tradisional,Bayu ora gelem kalah,cohere,su
Agriculture,Siska njaluk tulung marang wong tuwa kanggo njupuk benih sing bener.,Siska nggodhonge benih sing salah lan ora tau njupuk maneh.,Siska arep njajal tanam jagung ing pekarangan omah,Siska wis ngundhuh wong tuwa kanggo njupuk benih,Siska njupuk benih lan nggodhonge,Siska ora tau njupuk benih sing bener,cohere,su
Religious Holiday,Dina lan keluarga padha suwun.,Dina ora duwe sesaji.,Dina padha nyiapake nyadran,Dina lan keluarga padha nyiapake sesaji,Dina ora duwe waktu kanggo nyiapake sesaji,Dina lan keluarga padha nyadran,cohere,su
Religious Holiday,Ning lan sedulur kandhane ngucapke matur suwun marang Gusti Allah.,Ning ora bisa ngumpul karo sedulur kandhane.,Ning kepingin nyiapake opor ayam nalika Lebaran,Dheweke arep ngajak anak lanang lan wedhokane nyetakake,Ning lan anak-anakne seneng banget nyetakake bareng,"Sawise nyetakake, dheweke arep ngumpul karo sedulur kandhane",cohere,su
Death,Slametan iku diwenehi restu saka leluhur.,Mbak Sri ora bakal slametan.,"Ning rumine, Mbak Sri wis siapake sesaji kanggo slametan","Sawise slametan, Mbak Sri lan keluarga bakal njaluk restu saka leluhur",Slametan iku bagian saka tradisi slametan ing Jawa,"Sawise slametan, Mbak Sri bakal ngucapake doa kanggo leluhur",cohere,su
Wedding,Rama tuku baju kawin anyar.,Rama ora entuk baju kawin.,Sinta lan Rama arep kawin,Sinta wis nyiapin baju kawin,Rama ora entuk baju kawin,Sinta lan Rama ora bisa kawin,cohere,su
Death,"Sinta lan tetanggane nglakoni upacara ""Ngaben"" kanggo bapake.","Sinta ora ngerti tradisi ""Ngaben"" lan ora nyiapake upacara.",Joko wis tuwa lan arep mati,"Anake, Sinta, pengin nglakoni tradisi ""Ngaben"" kanggo bapake",Sinta njaluk bantuan tetanggane kanggo nyiapake upacara,"Upacara ""Ngaben"" iku tradisi Jawa kanggo ngiringi jenazah",cohere,su
Daily Activities,Dina lan kanca-kancane seneng lan ngobrol ngalor-ngidul.,Dina lan kanca-kancane ngantuk lan turu.,Dina lan kanca-kancane arep nonton bioskop,Dina wis tuku tiket lan ngenteni waktune,Dina lan kanca-kancane nunggu ing bangku lesehan,Bioskop iku padhang lan adem,cohere,su
Agriculture,Pak Warto lan anak-anak ngucapke sukur marang Gusti Kang Murbeng Dumadi.,Pak Warto lan anak-anak njupuk kopi ing kebun.,"""Dina iki aku arep njupuk kopi,"" omonge Pak Warto marang anak-anak",Pak Warto lan anak-anak arep njupuk kopi ing kebun,Kopi iku salah sijine tanaman sing diwarasake Pak Warto,"""Aku arep ngajak kalian njupuk kopi,"" tambah Pak Warto",cohere,su
Death,"Wisnu lan keluarga nglakoni ritual ""Nyekar"" kanggo ngiringi jenazah kakake.","Sinta ora gelem nglakoni ritual ""Mitoni"" amarga padha lali.","Sinta pengin nglakoni tradisi ""Mitoni"" saka budaya Jawa",Sinta wis umur 7 bulan,Sinta lan keluarga nyiapin sesajen lan kembang kanggo ritual,Sinta seneng karo tradisi Jawa,cohere,su
Traditional Games,Bocah sing entuk barang paling akeh iku menang.,Mbekak iku dolanan sing rumiyin.,"Ing desaku, ana tradisi unik ing wulan Suro",Bocah-bocah ngumpul ana lapangan,"Ana lomba ""Mbekak"" sing diadhe",Mbekak iku lomba nggoleki barang sing disimpen ana lumpur,cohere,su
Family Relationships,Sinta ngerti lan respek prioritas lan tanggung jawab kanca-kancane.,Sinta ora ngerti lan ora respek marang kanca-kancane.,Sinta arep ngajak kanca-kancane dolan,Kanca-kancane Sinta ora bisa dolan bareng,Sinta kudu ngerti prioritas lan tanggung jawab,Kanca-kancane bakal seneng yen Sinta ngerti kondisiane,cohere,su
Food,Bayu minta bantuan guru kanggo ngerti babagan kuliner tradisional.,Bayu nulis babagan makanan sing luwih modern.,Bayu duwe tugas sekolah babagan budaya kuliner,Bayu kudu nulis babagan makanan tradisional,Bayu ora ngerti babagan kuliner,Bayu mung bisa nulis babagan makanan modern,cohere,su
Pregnancy and Kids,Ratih putusin ngasih kado mobil-mobilan sing apik lan anyar kanggo ulang tahun Bima.,"Ratih mutusin ngasih kado sing anyar lan apik, nanging ora ngerti apa sing pas.","Ratih lagi nggoleki kado istimewa kanggo ulang tahun putrane, Bima",Ratih pengin kado sing apik lan bermakna,"""Kado apa sing pas kanggo bocah lanangku?"" gumam Ratih","""Bima senengane dolanan mobil-mobilan,"" pikir Ratih",cohere,su
Fisheries and Trade,Pak Budi duwe reputasi kanggo nggawe usaha sing luwih adil lan bermanfaat kanggo masyarakat.,Pak Budi luwih kaya lan padha duwe tambak sing luwih gedhe.,Pak Budi duwe tambak udang sing luwih gedhe,Dheweke nggawe wong-wong ing desane kanggo nglakoni usaha iki,Dheweke nggawe sistem bagi hasil kanggo nggawe wong-wong padha untung,Pak Budi nggawe wong-wong desane padha duwe penghidupan sing luwih apik,cohere,su
Death,Aku ora bisa nglakoni tugas liyane amarga kudu ngurusi Bapak.,Aku tetep bisa nglakoni tugas liyane lan ngurusi Bapak.,"Ning rumiyin, aku dhewe sing ngurusi Bapak",Bapak wis ora bisa nglakoni apa-apa,Aku kudu ngurusi kahanan lan kebutuhane,Aku ora bisa nglakoni tugas liyane,cohere,su
Pregnancy and Kids,Tumpengan iku tradisi ngucapke suwun saka Gusti Allah saka dadi ibu.,Tumpengan iku tradisi ngucapke suwun saka Gusti Allah saka dadi dukun.,"Dina ingkang kaping pitu, aku dadi saksi saka acara tumpengan",Mbokku dadi dukun bayi,Tumpengan iku tradisi ngucapke suwun saka Gusti Allah,Tumpengan iku acara ngucapke suwun saka Gusti Allah,cohere,su
Family Relationships,"Joko sadar yen duwit ora kabeh, lan hubungan karo keluarga iku luwih penting.",Yanto ora seneng karo keputusan Joko.,Joko lan Yanto kembar lan duwe hubungan sing apik,"Yanto pinter nggolek duwit, Joko pinter nggolek ati","Yanto ngajak Joko bisnis bareng, nanging Joko milih nggolek duwit sendhiko","Yanto sukses, Joko ora",cohere,su
Daily Activities,Mbak Rini nunggu bis liyane.,Mbak Rini ora mudik.,"Wis jam 6 sore, Mbak Rini arep mudik",Mbak Rini wis nyiapin barang-barange,"Sawise nyampe terminal, Mbak Rini nunggu bis",Bis sing ditunggu ora keliatan,cohere,su
Socio-religious aspect of life,"Ratih ngerti yen budaya lan tradisi iku penting, tapi perlu disesuaikan karo kebutuhan lan selera tamu.",Jamu temanten iku tradisi sing kudu dilestarikan tanpa perubahan.,Ratih lagi nyambut tamu sing dateng saka luar negeri,Dheweke nggawe jamu temanten kanggo menyambut tamu,Ratih nggawe jamu iku karo ati-ati lan telaten,Jamu iku nggawe tamu kagetan lan ora sreg,cohere,su
Fisheries and Trade,"Ikan-ikan kuwi disedekake karo Joko, nanging nalika pasaran, Joko ora bisa nggawe pasar ikan.","Nalika pasaran, Joko nggawe pasar sing ramai lan untung.",Joko kuwi wong sing duwe usaha jualan ikan,Sing paling digawe dheweke kuwi ngrawat ikan-ikan,Ikan-ikan kuwi disedekake karo Joko,"Nalika pasaran, Joko nggawe pasar ikan",cohere,su
Traditional Games,Dina sadar lan minta maaf marang kanca-kancane.,Dina ora sadar yen kanca-kancane wis ora main.,Dina lan kanca-kancane main egrang ing alun-alun,Dina wis biasa main egrang saka bocah,Dina ora weruh yen kanca-kancane wis ora main,Dina terus main egrang sirahe,cohere,su
Religious Holiday,Sinta lan keluarga nglakoni sedekah bumi dadi ora ana sing cedhak.,"Sinta ora ngerti ritual, dadi opor ayam lan tumpeng ora diwenehi marang wong liyane.",Sinta pengin nglakoni sedekah bumi,Sinta wis nyiapin opor ayam lan tumpeng,Sinta lan keluarga ngumpul ing pendhapa,Sinta ora ngerti carane nglakoni ritual,cohere,su
Socio-religious aspect of life,Ratih lan temen-temené padha seneng karo layang-layang anyar.,Ratih ora ngerti yen layang-layange padha dijupuk maneh.,Ratih padha njupuk layang-layang,Ratih ora ngerti yen layang-layange padha dijupuk saka wong liyo,Ratih padha njupuk maneh,Ratih ora ngerti yen layang-layange padha ilang,cohere,su
Agriculture,Wulan mboten wonten benih bunga kanggo ditanami.,Wulan ora duwe benih bunga.,Wulan duwe kebun sing apik,Wulan pengin tanam bunga,Wulan ora duwe benih bunga,Wulan mboten wonten benih bunga kanggo ditanami,cohere,su
Daily Activities,Dinda seneng banget nganti ora bisa turu.,Dinda ora bisa njupuk layang-layang iku.,Dinda pengin njupuk layang-layang sing apik,Layang-layang apik iku susah dicokot,Dinda ora nyerah lan tetep nyoba,Layang-layang apik iku kudu dicokot saka wates,cohere,su
Family Relationships,Bayu lan budhene ora tau ngerti apa sing diomongke siji sijine.,Bayu lan budhene tetep ngomong siji sijine.,Bayu lan budhene ora tau ngerti siji sijine,Bayu ora tau ngomong apa-apa,Budhene Bayu ora tau ngerti,Bayu lan budhene ora tau ngerti apa sing kudu ditindakake,cohere,su
Agriculture,"Tiwul e dianggo wong liyo, lan Wisnu ora weruh.",Tiwul e ketemu ing dapur.,Wisnu pengin njupuk tiwul kanggo sarapan,Tiwul e wis mateng,"Nanging, nalika dianggo, Tiwul e ora ana",Wisnu ora ngerti apa sing salah,cohere,su
Daily Activities,Desane Wisnu apik lan sehat.,Sampah ing desane Wisnu tambah gedhe.,Wisnu iku wong sing telaten,"Saben dino, dheweke njupuk sampah ing desane",Sampah sing dadi tanggungjawabe dadi apik,Wisnu ora duwe watu luang,cohere,su
Agriculture,"Dina lan Sinta ora ngerti, soale tanamane ora rapi.","Dina lan Sinta seneng, soale pekarangan wis kinclong.","""Mbak, aku pengen bantu tanam bunga ing pekarangan,"" candhane Dina marang adunge, Sinta","""Boleh, tapi ingat, kita harus tanam dengan rapi,"" jawa Sinta",Dina lan Sinta mulai tanam bunga,"Dina ora rapi tanamane, lan Sinta nggakjupuk",cohere,su
Art,Sinta padha nggawe wayang kulit kanggo dipamerke ing sekolah.,"Sinta ora bisa ngukir wayang, dheweke padha nyerah.",Sinta seneng banget karo wayang kulit,Dheweke padha nonton wayangan karo bapak lan ibu,Sinta pengin banget nggawe wayang kulit dhewe,Dheweke padha nyoba nggambar lan ngukir wayang,cohere,su
Family Relationships,Ratih lan ibude ora bisa ngobrol karo wong tuwane.,Ratih ora ngerti apa sing arep diomongke.,Ratih ora duwe bapak,Ibudhe Ratih ora duwe hubungan apik karo bapak lan wong tuwane,Ratih pengin ngerti kenapa,Ratih njaluk bantuane wong tuwane,cohere,su
Traditional Games,Ratih ketemu kanca anyar ing lapangan.,"Layangane Ratih ora bisa dipun nggo, dheweke mung melu nonton wae.",Ratih ora duwe kanca,Dheweke pengin main karo wong liyo,Ratih nyoba main layangan,Layangane rusak,cohere,su
Art,Panji lan selaira ora duwe minat karo wayang kulit.,Panji lan selaira seneng banget menyawang wayang kulit.,Wisma seni ngadain acara wayang kulit,Wayang kulit iku saka budaya Jawa,Wayang kulit wis terkenal saka jaman kuna,Panji lan selaira teka menyang acara kuwi,cohere,su
Religious Holiday,Dina lan kanca-kancane padha seneng.,Dina lan kanca-kancane padha nyambut sithik.,Dina lan kanca-kancane arep nyunat,Dina lan kanca-kancane padha nyiapake dhemit,Dina lan kanca-kancane padha nyambut sithik,Dina lan kanca-kancane padha nyunat,cohere,su
Art,Bayu ngerti yen karawitan iku kudu ditampilake apik.,Bayu ora ngerti karawitan.,Bayu lan kanca-kancane arep nyanyi bareng,Bayu seneng banget pas ngeliat karawitan,Bayu lan kanca-kancane padha ngerti yen karawitan iku kudu ditampilake apik,Bayu ora ngerti pas nyanyi karawitan,cohere,su
Agriculture,Kanca-kancane Tono ngerti carane njaga kebon.,"Tono ngajari kanca-kancane, tapi kanca-kancane ora gelem ngerti.",Tono lan kanca-kancane padha njaga kebon,Kebon iku warisan sedulure,"Saking padha njagane, wonten sing ora ngerti carane",Tono ngajari kanca-kancane,cohere,su
Food,Ratih pengin ngasih jamu kasebut kanggo calon mertua.,Ratih arep tuku jamu temanten kanggo acara lamaran.,"""Mas, tak tuku jamu temanten, ya,"" pintane Ratih marang mas-mas penjual jamu",Ratih pengin tuku jamu kanggo acara lamaran,"""Iya, Mbak, jamune jamu temanten asli, lho,"" wangsul mas-mas penjual","Ratih seneng banget, soale jamu kasebut iku jamu favorit",cohere,su
Religious Holiday,Rama ora ngambek lan ngajeng layang-layang anyar.,Rama ngambek lan ora ngucapke matur nuwun.,"Wis wengi, lan Rama lagi nyiapake layang-layang kanggo lomba esuk",Layang-layang iku kudu diwerna lan disiapake,"Rama ora weruh yen adike, Rini, wis nggawe layang-layang iku rusak",Layang-layang iku ambruk,cohere,su
Agriculture,Joko lan Rini suwun karo wong-wong desa.,Panenan padine ora sukses.,Joko lan Rini pengin nandur padi ing sawah,Sawehe wis disiapake,Wong-wong desa padha bantu,Panenan padine sukses,cohere,su
Daily Activities,Dina langsung muntah sawise mangan sega kasebut.,Dina ora ngrasa enek lan terus mangan sega kasebut.,Dina arep njupuk sega saka warung ing ngarep omah,Dina ora weruh yen warung kasebut wis tutup,Dina langsung njupuk sega,Dina ora weruh yen sega kasebut wis kadaluwarsa,cohere,su
Traditional Games,Kanca-kancane Wisnu tuku dakon anyar kanggo dheweke.,"Wisnu ora bisa main, dheweke mung nonton wae.",Wisnu seneng main karo kanca-kancane,Dheweke arep main dakon,Dakone ilang,Wisnu ora duwe dhuwit tuku dakon anyar,cohere,su
Pregnancy and Kids,Ning lan Ning padha nemokake bocah sing ilang lan dikandhani marang wong tuwane.,Ning lan Ning ora nemokake bocah sing ilang lan padha nangis.,"Ning lan Ning, kembar lan duwe hubungan sing apik",Ning duwe naluri sing apik banget ngasuh bocah,Ning lan Ning padha njaga bocah ing omah,Ning ora ngerti yen Ning padha nggoleki bocah sing ilang,cohere,su
Food,Pecel nganti dadi makanan favoritku.,Aku tansah tuku pecel nang kene nalika laper.,"Ning pasar senggol, aku nemokake warung pecel",Pecel iku makanan tradisional sing enak,Aku tuku pecel lan sambel-e,Sambel pecel iku pedes lan apik banget,cohere,su
Pregnancy and Kids,Wulan lan sedulure padha seneng.,"Wulan ora seneng, sedulure padha ora nyenengake.","Wulan kudu nglakoni ""Temu"" marang sedulur-sedulure",Wulan kudu nggawe panganan sing apik-apik,"Wulan kudu nggawe ""Nasi Tumpeng"" kanggo sedulure","Wulan kudu nglakoni ritual ""Mitoni"" sabanjuru",cohere,su
Religious Holiday,Sinta lan Rini padha ngerti pentingnya gotong-royong lan nyambut Lebaran kanthi sukacita.,Rini ora bisa ngerti pentingnya gotong-royong lan ngambek.,Sinta lan Rini padha nyiapake layang-layang kanggo Lebaran,Layang-layang Sinta luwih apik lan gedhe,Rini iri lan pengin layang-layange luwih apik,Rini njaluk layang-layange Sinta,cohere,su
Wedding,"Busana kanggo penganten lan undangan disiapake maneh, nanging ora disiapake ing acara.",Busana kanggo penganten lan undangan ora disiapake.,"Ning kawin, wong Jawa nggawe busana tradisional kanggo penganten lan undangan",Busana kanggo penganten lan undangan wis disiapake,"Ning acara, busana kanggo penganten lan undangan ora disiapake","Busana kanggo penganten lan undangan wis disiapake, nanging ora disiapake maneh",cohere,su
Pregnancy and Kids,Dina lan keluarga nglakoni upacara mitoni kanggo minta restu lan keselamatan.,"Dina ora ngerti tradisi mitoni, dheweke malah nonton televisi.",Dina lagi hamil,"Dina kudu nglakoni tradisi ""mitoni"" saban 7 bulan",Dina kudu nyiapin sesajen lan sajen kanggo upakara,Dina kudu nglakoni upacara kanggo minta restu saka leluhur,cohere,su
Socio-religious aspect of life,"Bayu padha njupuk rejeki nangisake wong tuwa, nanging ora ngerti babagan budaya lan tradisi.","Bayu padha njupuk rejeki nangisake wong tuwa, lan padha seneng.",Bayu pengin nyoba njupuk rejeki,Bayu padha njupuk rejeki karo kanca-kancane,Bayu padha njupuk rejeki ing pasar,Bayu padha njupuk rejeki nangisake wong tuwa,cohere,su
Family Relationships,Bayu lan Wulan padha ngerti pentingnya ngresepke wong tuwane lan padha nggawe waktune kanggo dolanan karo wong tuwane.,Bayu ora gelem ngalah.,"Bayu lan kakaknya, Wulan, padha seneng dolanan karo wong tuwane",Wulan ora gelem dolanan karo wong tuwane,Bayu pengin ngajak wong tuwane dolanan,Wulan ora gelem ngalah,cohere,su
Death,Sinta nglakoni tradisi ngubur.,Rama nglakoni kasebut tradisi.,Sinta lan Rama wis tuwa,Sinta kena kanker lan wis ora bisa diobati maneh,Rama ora gelem ngelakoni tradisi kremasi,Sinta ngerti karepe Rama,cohere,su
Traditional Games,Layangan nggawe aku seneng lan ngelingake ing dalu.,Aku seneng nggawe layangan sing apik.,"Ing dalu, aku lan kanca-kanca dolanan layangan ing alun-alun",Layangan iku dolanan sing apik lan murah,Aku seneng nglakoni tradisi Jawa,Layangan sing apik iku sing gedhe lan kuat,cohere,su
Death,Tono ora bisa nglakoni tradisi slametan kanggo kancane.,Tono lan kanca-kancane padha slametan.,Tono duwe kanca sing wis mati,Tono lan kanca-kancane padha nglakoni tradisi nyekar,Nyekar kasebut kanggo ngingati kanca sing wis mati,Tono lan kanca-kancane padha nggih nggih nggih,cohere,su
Religious Holiday,Dina njaluk maaf lan ngajeng layang-layang anyar kanggo Ratih.,Ratih ora ngucapke matur nuwun lan ngambek.,"Ratih lan temene, Dina, njupuk layang-layang ing pasar",Layang-layang iku bakal digunakake kanggo ngiringi lomba layang-layang ing esuk,Dina ngajeng layang-layang kanggo Ratih,Ratih ora weruh yen layang-layange wis ilang,cohere,su
Death,Sinta nglakoni kewajiban e marang bapak e.,Sinta ora bisa nglakoni kabeh kewajiban e.,Sinta duwe bapak sing luwih tua,Bapak e Sinta ora bisa nglakoni aktifitas kaya wong liyo,Sinta pengin bapak e ora nggantungake dheweke,Sinta ora bisa nglakoni kabeh kewajiban e,cohere,su
Traditional Games,Sinta lan kanca-kancane mrenehi layangane.,Sinta ora peduli lan ninggalake layangane.,Sinta lan kanca-kancane main layangan,Layangane Sinta apik lan gedhe,Angin sore iku kenceng banget,Layangane Sinta putus lan mlebu ing sawah tetanggane,cohere,su
Pregnancy and Kids,Dina lan suamine ngundang sedulure marang acara Tedhak Siten.,Dina ora ngerti tradisi Jawa.,Dina wis duwe anak,Anake Dina saiki wis umur siji taun,"Dina pengin nglakokne tradisi ""Tedhak Siten""",Dina lan suamine arep nyiapake acara iki,cohere,su
Fisheries and Trade,Joko akhirnya bisa jual lele lan duwe untung.,"Joko ora bisa jual lele, soale ora duwe modal.",Joko duwe kolam lele ing pekarangan,Lele-lelenya iku disedakake pakan sing apik,"Joko pengin jual lele, tapi ora duwe modal",Joko nyoba pinjam duit marang tetanggane,cohere,su
Wedding,Tika ngerti lan nglakoni tradisi marang leluhur.,Tika ora ngerti lan ora nglakoni tradisi.,Wis dadi tradisi yen wong tuwa nate ngaturaken panggonan lan sesajen marang leluhur sabanjuru kawin,"Ning nganti saiki, Tika durung ngerti apa sing kudu disaji",Tika njaluk tulung marang budhe lan bibine,Tika kudu ngerti babagan tradisi lan budaya Jawa,cohere,su
Fisheries and Trade,Bayu lan Wisnu entuk untung saka jualan telure bandeng.,Bandeng iku ora bisa dijupuk telure.,Bayu lan Wisnu njupuk bandeng ing laut,Bandeng iku bakal diolah lan dijupuk telure,Telure bandeng regane luwih larang,Wisnu ora sabar ngenteni panen,cohere,su
Daily Activities,Wulan tansah mangan pitik sing dipanggang.,"Pitike ora enak, Wulan tansah nyingkiri.","Selahe dina, Wulan njupuk pitik sing wis dipanggang",Pitike luwih apik lan empuk,Wulan ora gelem mangan pitik sing ora dipanggang,Pitike dipanggang dadi ora enak,cohere,su
Wedding,Wong tuwane Wisnu lan Ayu nyedhaki nggawe sesajen bareng-bareng.,Upacara kawin diundur.,Wisnu lan Ayu arep kawin,Wong tuwane Wisnu wis nyiapin sesajen,Sesajen iku bagian penting saka upacara kawin,Wong tuwane Ayu ora duwe wong kanggo nggawe sesajen,cohere,su
