sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Sulistri minangka kembang desa ing désa kita,"Praupané ayu, watéké uga ayu, umuré mung 17 taun","Ora nggumunaké Pak Jaka, bapaké tansah ngrumat anaké wadon",Akeh wong enom sing teka nglamar Sulistri,Nanging Pak Jaka tansah ora gélem teka amarga dhéwéké kepéngin Sulistri nikah ing umur 24 taun,Pak Jaka urip seneng karo Sulistri senajan akeh nom-noman sing teka nglamar
Sirahe Beno cukup gedhe,Sore iki Beno dolanan umpet-umpetan karo sedulur-sedulure ing pekarangan omah,"Banjur, Beno ndhelik ing mburi gorden ing jendela pawon","Dheweke ora ngerti yen jendhela ora dikunci, ora kaya biasane","Nalika Beno nyender, dheweke tiba lan nabrak sirahe",Ana maling mlebu lan ketemu Beno lagi mangan jenang di meja
Trisna kerja dadi abdi dalem,Anane Trisna mung wewayangan wayang kulit,Anane Trisna mesthi ora dingerteni wong liya amarga identitas asline kuwalik,Trisna kerjane meneng-menengan ing karaton,Trisna mung bakal obah yen ana sing mbebayani bendarane ing wayah wengi,Trisna supaya wong liya ngerti identitas asline minangka putra mahkota
Heri kena lelara demam berdarah,Untunge lelara kuwi ora pati parah,Dheweke bisa dirawat ing rumah kanthi bantuan dukun,Mung wae panganan sing bisa dipangan Heri mung winates kaya ta janganan urang lan gudeg,Dheweke disaranake mangan panganan olahan kaya ta gudeg lan sate,Janganan urang ngemot akeh nutrisi sing apik kanggo awak
"Aku biasane ora turu awal, apa sampeyan mikir?","Maklum, iki rapat kita sawise setaun sibuk karo urusane dewe-dewe",,,,
"Nalika dolanan ing dalem Kyai, Lila wedi banget","Nalika ana ing pendhapa, lampu dumadakan mati","Bareng wis metu, lampune bali senajan ora ana wong",Pranyata lampu ing kamar mandi Kyai duwe sensor gerak,"Yen ora ana gerakan sing dideteksi sajrone wektu tartamtu, lampu bakal surem kanthi otomatis",Lila njaluk Kyai ngganti lampu ing kamar mandi
Aku krasa ngelih ing wayah bengi sambil njupuk wedang ronde,Aku krungu suara gendhing Jawa ing njaba pendopo,Aku mutusake tuku es campur,Aku dhawuh es campur tanpa irisan tape,Aku ora seneng tape,Aku nahan keluwen kanthi turu ngenteni subuh
Dina iki ibu ngajak Lili menyang pasar traditional,Dheweke bakal tuku kebaya kanggo Lili,Kebaya Lili mung cilik,Ibu tuku kebaya Lili rolas,Lili seneng banget entuk kebaya anyar,Lili ora seneng blanja ing pasar traditional
Duwe awak cilik ora mesthi dadi kekurangan,Lena pancen seneng duwe awak cilik,"Nalika ngibadah ing Masjid, kanca-kancane mesthi ngajak Lena menehi tempat paling apik","Nalika motret bareng pas wayangan kulon, mesthi bakal katon amarga dheweke ana ing ngarep",Lena rumangsa begja amarga awake cilik,Lena kepengin dhuwur kaya kanca-kancane
"An, aku nang Bandung, ajak ngalanglang karo kowe","Aan kaget lan seneng krungu omongane Eci sing dadakan, ngimpikeun yuswa SMA",Mesthi wae aku langsung kesusu jemput Eci supaya langsung ketemu di kafe ngopi anu anyar,"Eci karo Aan wis kekancan wiwit SMP, ora akeh sing ngerti yen saben-saben duwe perasaan sing luwih saka kanca, kayaning yen Eci bosen karo Aan",Akhirna ketemu di Gedung Sate lan ngrancang sawetara lelungan ka Situ Patenggang,"Nuwun sewu Ci, kula wonten acara dinten menika, wis kacep pisan, kula kudu minggat"
Billy nggawe gending Jawa babagan perjuangan,Billy ngundang wong Jawa penting ing kraton,Billy akeh ngomong babagan masalah politik lan budaya Jawa,Billy bisa entuk akeh kawruh saka wong-wong Jawa kang diundang,Para pamireng Billy seneng ngrungokake gending Jawa,Billy mung ngandika piyambak ing wayang kulit
Ibam mlayu mangan gudeg karo Batang sing wis siyap.,Saiki Ibam tuku gudeg sing dibungkus kertas ing ngarep pasar.,"Sakdurunge Ibam mriksa gantine, Batang sing arep dituku wis siyap lan dibungkus rapi.",Jumlah dhuwit sing diwenehake marang Ibam akeh banget.,Ibam uga nyoba njaluk bantuan wong tuwa kanggo menehi dhuwit sing luwih akeh.,Ibam uga nyoba njaluk bantuan wong tuwa supaya tuku gudeg liyane.
Lilah golek pasar tradisional sing kepenak,Lilah seneng banget nyawang gunung Merapi,Lilah seneng karo budaya Jawa,Lilah golek pasar tradisional sing cocok karo kekarepane,Lilah makan gudeg ing pasar tradisional cedhak kraton,Lilah makan gudeg ing pasar tradisional sing tutup
Pancen angel ilatku ngucapake tembung “sampai ketemu” akhire gerbang kos menyapa aku.,"Aja takon aku turu jam pira, kacang panas karo krupuk uga tak pindah.","Kepiye carane bisa nutup mata nalika pikiranmu rame lan atimu kacau, kaya déné nonton wayang kulit nanging ora ngerti critane?","Muga-muga ana telpon saka dheweke, lan isiné ngandhani aku bakal ketemu.","Nanging wektu iku telpon ora muni, mbok menawa pikirane uga bingung, kaya déné kacang panas sing ora tau kapan mbesok.","Aku nyeluk dheweke supaya rada tenang, lan aku ngandhani bakal mlebu kebon binatang nggoleki dheweke."
"Aku ora bakal nampa sampeyan yen ora ana bunga melati asli,",Dheweke kandha yen dheweke bakal ngakoni perasaane marang aku amarga iku dina Jemuwah ing pasar,"Bener, aku ora pengin bunga melati",Mung wae aku njaluk dituku kembang melati amarga aku isih ragu-ragu nampa perasaane,"Nanging sapa sing ngira, bengi iku dheweke teka nggawa bunga melati sing sejati kanggo aku",Dheweke kanca pisanan ing Majlis Taklim
Ayu ngerjakake tugas kuliah ngantos ngarep wengi.,"Kanggo ngrampungake skripsine, dheweke tansah nggoleki referensi anyar.","Sawise olèh gelar insinyur, Ayu banjur dadi tenaga ahli ing salah sawijining perusahaan gedhe.",Ayu terus ningkatake kemampuan ing bidang perencanaan kota.,Karya perencanaan kota Ayu diakui ing tingkat internasional amarga kreatif lan inovatif.,Ayu seneng banget main ke Puncak pas wengi karena suasananya sejuk dan ada banyak pohon.
Safina ngalami patah sikil,Safina butuh wong liya kanggo nulungi dheweke ngadeg,Safina butuh tongkat kanggo mlaku,Safina ora bisa urip normal kaya biasane mlayu-mlayu ing sawah,Uripe Safina owah kaya ganti musim,Safina bisa mlayu banter kaya kidang ing alas
Penggawean sing ditindakake Nino ora gampang ing Yogyakarta,Dheweke kerja minangka maskot kanggo warung gudeg,Nino kudu nganggo kostum Bima panas,"Ing mangsa kemarau, pegaweyane angel banget ing sawah",Dheweke kudu tahan nganggo kostum ing cuaca panas banget ing kutha Solo,Nino kepengin ngrancang kostum anyar kanggo maskot Reog Ponorogo
Karin minggu iki sibuk banget ngrawat kacang sing wis garing,Karin ora duwe wektu kanggo ngerik jemari ing omah,Karin ngirim kacang reged menyang papan jemari,Karin bisa ngrampungake tugase mungguh ing pendhapa,Karin fokus ngrampungke tugase nganti wayah sore,Minggu iku Karin bisa nggerik jemarine dhewe ing omah
Pupuh seneng ngajak bocah nonton tayub,Kembar senenge ndelok reog,Pupuh tansah ngenteni sore teka,Kembar ngenteni tekane wengi,Pupuh lan Kembar ora bisa nikmati tayub bebarengan,Kembar bakal ngenteni esuk kanggo nonton wayang kulit
Nico mlaku ing alun-alun malam,Nico nggawa obor,Nico mesthekake lampu obor ora padham,Nico ora bisa ndeleng dalan yen obor padham,Nico pancen gumantung marang obor sing digawa,"Nico bisa ndeleng dalan ing malam tanpa obor, nganggo bantuan bintang-bintang ing langit Jawa"
Penyembelihan kewan kurban ing sekolahan Azizah ditindakake sedina sawise Idul Adha.,Sekolah ora mbutuhake siswa ndeleng proses nyembelih kewan kurban.,"Nanging, Azizah lan kanca-kancane padha janji arep teka sekolah.",Dheweke kepengin weruh kewan kurban saka kelase disembelih.,Hasil joint venture bocah-bocah kelas kasil tuku sapi minangka kewan kurban.,Asil gotong royong bocah-bocah kelas dinggo mangan ing restoran.
Muri arep gawe gudeg,Muri nggoleki bahan-bahan sing bisa digunakake ing pasar tradisional,Muri takon marang wong tua ana ngendi bahane gudeg,Muri masak dhewe gudeg sing dikarepake,Anak sing mandiri,Muri dhawuh marang pembantune gawe gudeg
Kulawargane Mbak Yayuk lagi macet,Dheweke nembe bali saka pasar tradisional,"Ing dalan, adhine Mbak Yayuk arep menyang sendang",Wong tuwane Mbak Yayuk langsung gupuh,"Padha gupuh amarga papan istirahat isih adoh, wong loro padha kersane kudu ngantor esuk",Mobil ujug-ujug ganti lajur kados balapan di Sirkuit Sentul
Fives limang dina wis milih wengi kanggo ngringkes tugase Bu Aida kanggo ngerti pasinaon Al-Qur'an.,Panca rumangsa yen ringkesane ora bisa ngemot poin-poin kang dibutuhake kanggo ngringkes pasinaon tasawuf.,"Saben-saben ngringkes, Panca tansah nuli nyalin kabeh materi sing wis ditulis nganggo aksara pegon.",Bu Aida sing ngerti bingunge Panca banjur nyeluk menyang ruang guru kanggo ngangsu kawruh.,Bu Aida menehi pelajaran tambahan kanggo Fives babagan carane nggawe ringkesan sing apik supaya Fives bisa ngringkes pasinaon kanuragan Jawa.,Bu Aida maringi wejangan menyang Panca supaya ora nindakake rangkuman yen ora seneng ngringkes pasinaon Jawa Kuno.
Mina menyang dukun pawasta,Wiwit minggu kepungkur kulit raine wis lara,Dukun pawasta mriksa kahanan raine Mina,Pranyata Mina ora cocog karo jamu sing anyar,Dukun menehi jamu kanggo nambani kulit rai Mina,Mina nesu marang dukun amarga ngapusi
Bulan noleh kebo ngiwa.,"Sejatine, Wulan kepengin njupuk dalan ingkang rapih.",Nanging kijang sing lungguh adoh ing ngarepe ngowahi pikirane Bulan.,Rembulan wedi karo kijang.,Rembulan milih kanggo nguripake sanajan tegese luwih maju.,Bulan milih njaga wedhus.
"Salsabila njaga kacang rengginang ing ngarepe, Iru.",Iru krasa manja.,Iru mlayu menyang pangkone Salsabila sing lagi lungguh nyelang.,Iru langsung lungguh mulyo sinambi krasa manja maneh.,Salsabila seneng karo kelakuane Iru sinambi ngewangi Iru kanthi bungah.,Salsabila nangis saka lungguhe.
Sabeneré saben telung wulan Universitas Gadjah Mada nganakaké acara donor getih,Acara kasebut diatur déning pihak rektorat,Mahasiswa uga diidinaké melu donor getih,Acara iki dianakaké sedina kemis,"Kanthi acara iki, universitas ngarep-arep bisa mènèhi bantuan kango wong sing butuh getih",Donor getih menarik banget amarga sampeyan olèh panganan gudangan sakwise
Jiro melu lomba reog,Jiro ora bisa ngibing,Jiro ditampa kanggo seleksi menyang grup reog,Jiro nglatih keras,Jiro mimpin tim reog dadi jawara,Jiro ora gelem melu lomba apa wae
Ratih kagungan kulawargane ing pesantren,Ratih ora gelem dilebokake ing pesantren,Ratih kraman ing pesantren,Ratih ora gelem manut aturan ing pesantren,Pondok pesantren ngetokake Ratih,Ratih seneng krama ing pesantren
Siswa mangalami pawulangan adoh,Virus Covid-19 njalari wong kudu ngadhepi adoh,Implementasi pawulangan adoh tegese siswa ora sesambungan langsung,Siswa bisa sinau kanthi slamet ing griya dhewe-dhewe,Pawulangan adoh mudhunkake risiko panularan virus Covid-19,Mahasiswa kejangkit virus Covid-19 amarga penerapan pawulangan adoh
Pekarangan Pak Wahyu kebak tetuwuhan maneka warna.,"Ana akeh wit kayata pelem, jeruk purut lan cabe rawit.","Ana uga tanduran hias kayata waru, kuping gajah lan pakis Jepang.",Saben dina Pak Wahyu tansah nyirami tandurane.,Pak Wahyu ugi mboten kesupen maringi pupuk supados tanemanipun tambah subur.,Pak Wahyu eleh karo kethoprak sing durung diwenehi panganan.
"Kunci sukses yaiku konsisten nalika nindakake apa wae, kaya ngelakoni sembahyang limang wektu","Riha ora bisa nindakake perkara sing padha bola-bali, kaya njaga tradisi Upacara Sekaten","Riha luwih seneng tantangan, kaya ngrawat wayang kulit","Riha ora pengin nggawe tumit sing mboseni, kaya nonton tayangan wayang kulit","Kadhangkala, konsisten iku mboseni, nanging tradisi Jawa kudu tetep lestari","Rihanna minangka wong sing tansah ngerawat rambut gembel, ora ana gandheng cenne karo tradisi Jawa"
Ibu seneng nata kembang,Ibu ngajak adhiku tuku kembang ing pasar tradisional,Mbakyuku tuku kembang sing ukurane cilik banget kaya kembang melati,"Ibu protes karo kembang sing dituku adhiku, mesti kembang sing apik kaya kembang kanthil","Kembang kasebut ora cocog karo kekarepane ibu, mestine kembang sing wangi kaya kembang jepun",Kakang tuku ibu wajik sing renyah
Aku wis tresna karo wayang kulit wiwit,Nanging aku ora bisa nyatakake tresnaku ing njaba,Sejatine dalang uga seneng karo wayang aku,Aku ngerti iki saka sesepuh ing desaku,Nganti saiki kita mung kanca njagong wayang,Nganti saiki aku lan dheweke saingan dadi jagoan pewayangan
Aku seneng banget maca carita wayang kulit,Ebu tansah maca babad sadurunge turu,Bapak lan ebu arep menyang Borobudur rong dina,Aku ora bisa turu,Aku mung bisa turu yen ebu maca babad sadurunge turu,Ebu tindak karo aku menyang tlatah Yogyakarta
Mina kuwatir banget karo putrane sing cilik,Putrane nembe ngancik setaun,Ora let suwe putrane bisa mlaku kanthi lancar,"Wiwit bisa mlaku, bocah kasebut aktif banget","Preduli saka pengawasan slightest, putrane wadon ilang nang senthong taman",Putrane umur setaun wajib diemong nganti umur pitung tahun
Ethan tansah mikir babagan masa depan,Ethan tansah kuwatir yen masa depane bakal kacilaka,Ethan sinau kanthi tekun kanggo nggayuh cita-citane,Ethan kasil dadi lulusan Sekolah Tinggi Agama Islam sing diimpi-impi,Ethan kasil nggawe masa depane berkah,Masa depan Ethan kacilaka
Fira takon marang mbah dukun neng jaman biyen,Fira angel nglalekake trauma sing dialami nalika wayang kulit,Fira wedi yen mbesuk dheweke bakal ngalami kedadeyan iki maneh ing pasar malam,Fira ora pengin ngalami kedadeyan iki kaping pindho nalika lebaran,Ana kedadeyan neng jaman biyen Fira sing nggawe dheweke wedi,Fira ora bisa ngelingi apa-apa saka masa lalune neng candi borobudur
Acep nyoba ngusir kucing sing katon ing pendhapa kanthi swara.,Acep ora ngerti nalika kucing kasebut mlebu.,Acep nyedhaki panggonane kucing lungguh amarga kucinge ora lunga.,Kucing kasebut langsung mlayu nyedhaki lawang Acep sing mbukak.,Acep langsung nutup lawang pas kucinge metu.,Acep langsung nganggep kucing kasebut minangka kucing kinasihane.
Joana lan Ibune niliki pasarean karuhun Bapak.,Wis rong taun bapakku séda.,Dina iki bapak ulang tahun,Joana lan Ibu duwe pakulinan ziarah ing dina ulang tahune Bapak.,"Joana jongkok ing jejere pasarean Rama, ngangkat tangane kanggo ndedonga nalika Ibu nyebar kembang mawar.",Joana lali ngendi pasarean karuhun Bapak.
Laras ngimpi dadi Pejabat Pemkab,Nalika sinau dheweke milih jurusan Agribisnis,Dheweke lulus kanthi cum laude kanthi GPA sing apik banget,"Nalika nglamar kerja dadi Pejabat Pemkab, kabeh lancar",Saiki Laras dadi Pejabat Pemkab ing Kabupaten Bantul,Laras dadi Wakil Bupati ing Kabupaten Kulon Progo
Lila cedhak banget karo adhine,Wiwit cilik padha manggon ing omahe simbah ing desa,Wong tuwane sibuk nyambut gawe ing kebon tèh,Lila wis ngopeni adhine saben dina wiwit cilik bareng karo mbok dhe,"Mula, Lila cedhak banget karo dheweke",Lila lagi ngumpulake dhuwit kanggo menyang grebeg Maulud
Ibrahim lan Malik ora bisa rukun pas njupuk sesajen ing pasar,Ibrahim ngemu dendam marang Malik amarga dipeksa metik kembang melati ing taman,Malik nate ngerti babagan dendam sing ditindakake dening Ibrahim nalika wayang kulit,Malik rumangsa ora nglakoni salah marang Ibrahim nalika bedah beras,Ibrahim kaya-kaya kepengin nglarani Malik ing wayang orang,Ibrahim lan Malik minangka pasangan kanca ing reog
Januari ndhelik ing mburi lawang kamare adhine.,Dheweke ngindhari ibune sing ngandhani dheweke turu.,"Januari ngira yen Ibu mung nggoleki dheweke ing kamare Januari, ora mriksa kamare adhine.",Sanadyan Ibu wis weruh saka kadohan wewayangane awake Januari katon ing ngisor lawang.,"Ibu kanthi meneng nyedhaki Januari lan langsung ngrangkul dheweke supaya ora mlayu maneh sambil ngucapaken ""Pangastuti, nak"".",Ibu meneng-meneng nyedhaki Januari lan nyedani sega liwet sing digawa Ibu saka pasar kanggo sarapan.
Aloysius minangka jawara gulat Jawa,Aloysius bakal nglawan siapa wae sing wani nantang dheweke ing panggung wayang,Aloysius ora tau kalah ing adu kekuatan,Aloysius ora tau wedi marang mungsuh sing nganggo jurus pamungkas,Aloysius menang nglawan mungsuh anyar ing gelanggang wayang kulit,Aloysius nyerah ing pertandhingan gulat tarung ing Kraton Yogyakarta
Emil saiki seneng gawe keris,Keris kasebut digawe saka baja lan dihiasi aji-aji,Aji-aji ingkang dipunginakaken mawarni-warni,Dheweke uga nggunakake aji-aji kanthi bentuk unik,Saiki Emil duwe luwih saka s&#xE8;ket keris krasan,Emil bocah sing ora pinter srawung
Mripate mlathi mlathak ing ngarep omahé Atang.,Dheweke ora percaya apa sing dideleng ing wayang kulit.,"Kucinge, Atang, lungguh ing ngarep lawang njawi, nunggu mbok Atang.",Jasmine ngira yen Atang ora bakal bali sawise ilang sewulan banjur digoleki ora ketemu ing pasar Beringharjo.,Melati nggendhong Atang kanthi bungah lan Atang nanggapi kanthi ngeong njaluk gudeg lan sambel uleg.,"Jasmine nggendhong Atang, dheweke arep menehi Atang marang tanggane ing kraton Yogyakarta."
Dina iki cukup tentrem.,"Srengenge sumorot alon-alon, lan ora ana angin kenceng utawa prahara sing gawe petenge swasana, kaya-kaya sedoyo lemah Jawa ngguyuhi.","Nanging kaya-kaya wis gumuruh ing atine Raden Mas, dheweke nesu.","Untunge dering telpon saka garwane rada tenang, kaya-kaya sedoyo wong Jawa isin nggandrungi.","Amarga kanthi mangkono dheweke bisa nuduhake apa wae sing dialami saben dinane, kaya-kaya sesaji kanggo para leluhur.","Raden Mas gupuh amarga tugase durung rampung, kaya-kaya ngadepi ujian saka Gusti Ingkang Maha Kuasa."
Wong tuwane Dio kenal karo kanca-kancane Dio kang wis nglakoni tradisi Jawa.,"Kanca-kancane Dio malah nyebut wong tuwane Dio Bapak lan Ibune, padha karo Dio kang wis nganggo busana adat Jawa.","Saben-saben dolan menyang omahe Dio, padha bungah-bungah nyeluk Ibu njaluk panganan khas Jawa kaya tahu campur lan gudeg.","Yen padha muter ing akhir minggu, Bapak bakal ditarik teka muter karo wong-wong mau kanggo ngiringi reog Ponorogo.",Bapak lan Ibu mung bisa ngguyu karo kelakuane kanca-kancane Dio kang wis nganggep kearifan lokal.,Bapak lan Ibu umure beda banget.
Ibu tuku krupuk akeh,Kakang njaluk krupuk ibu,Ibu maringi krupuk kabeh marang adhik,Mbakyu njaluk krupuk ibu,Adik ora olih krupuk saka ibu,Ibokku didukani adhiku njaluk krupuk
Fhizra lan Vira mlaku kanthi yakin liwat gapura ing lawang mlebu pendopo sing lagi latihan ing lapangan,,Saperangan abdi dalem nggaya berseragam katon ing kana kanthi katon galak,,,
Tekad Zata digawe.,Dheweke bakal nolak tawaran saka kanca-kancane.,Dheweke ngajak Zata mangan sekul bareng-bareng ing Lebaran.,Ananging Zata didhawuhi Ibu nginep ing omah kulawarga sakwise mudik karo kancane.,Zata langsung ngandhani kancane liwat telpon yen dheweke ora bisa teka.,Zata enggal-enggal ngongkon kancane mbayar bingkah.
"Lysia cumawis ing 3 basa liyané kados Jawa, Indonesia, lan Inggris","Lysia bisa basa Jawa, Indonesia, lan Inggris",Lysia kerja dadi penerjemah Serat Centhini,Lysia ora nguwasani basa Arab lan Madura,Salah siji saka 3 basa sing dikuwasani Lysia yaiku Jawa,Lysia bisa nerjemahake Serat Darmagandhul
Geri lan sedulur-sedulure seneng dolanan camp ing sawah,"Saben menyang dalem gurubaru, padha kemah ing ngisor tanduran beringin gurubaru",Tanduran beringin sing gedhe-gedhe ditutupi payung-payung ing sakubenge,Banjur padha nggawa jajanan sing diparingake ibu,"Sanadyan sederhana, dheweke seneng amarga bisa dolanan bebarengan",Romo damel omah joglo kemah
Zeta tuku bahan kanggo gawe es teler ing pasar tradiisional.,"Zeta mbutuhake kelapa, gula jawa lan santen.",Nanging jebule pasar tradiisional kentekan santen.,Sing duwe pasar menehi saran supaya Zeta bali ing wayah sore amarga stok anyar bakal teka.,Zeta sarujuk lan mutusak&#xE9; kanggo tuku kelapa lan gula jawa mengko.,Zeta setuju lan mutusake ngenteni nganti sore ing pasar.
Swasana ing ndalem wektu iku sepi,"Dumadakan, ibune krungu bengok-bengok saka senthongé anak-anake",Dheweke kuwatir yen ana kedadeyan,"Teka ing kamar, ibu kaget banget",Pranyata wong loro padha rebutan wayang,Anak-anake padha dolanan rebab
Apa sampeyan ngerti babagan uripku lan urip wong liya ing desa iki?,"Oke. Kabeh wong duwe rahasia, aku? Sapa ngerti kedadeyan, dheweke teka lungguh ing jejere aku ngunyah es dawet.","Ya bener! Kaya wayang kulit sing beda-beda, sedhih uga. Aja nyritakake pengalamane sapa sing luwih sedih. Amarga kita ora ngerti kepiye dadi wong liya,","Dheweke meneng, kayane wektu iki dheweke ngerti yen aku nesu tenan ngantosake pembagian raskul.","Bungkus es dawet dakbuwang banjur lunga, isih meneng ing bangku taman.",Dheweke ganteng banget nganggo beskap lurik lan blangkon.
Saben uwong nduweni hak kanggo entuk pendidikan sing paling apik,Jio mung bocah jalanan sing nduweni semangat belajar kaya mbok Jamilah,Jio ora duwe wong tuwa nanging nduweni guru pembimbing sing bijak,Jio ora duwe ragad kanggo sekolah nanging nduweni niat kuat kanggo lulus,Jio entuk beasiswa saka pemerintah kanggo nerusake pendhidhikan lan dadi sarjana ulama,Jio mbantah omongane wong tuwane sing ngajak mangkat sekolah lan milih mèlu reog Ponorogo
Cahya kang kados pajar mlebu celah-celah mripatku.,"Sirahku lara, kados dipatuk déwa.",Butuh sawetara menit nganti aku bisa ndeleng kanthi bener kayadéné Wayang kulit.,"Tangan kiwaku ana ing drip IV, lan pungkasane aku ngerti ngendi aku kaya déné ana ing désa.",Kowe wis tangi? Ana swara saka sisih tengen ambenku.,Pitulung... aku wis diculik
Sinta jengkel banget karo Darto,Loro-lorone melu ngibadrah ing kraton minangka grup,"Nanging, wiwit wektu pisanan, Darto wis males ngibadrah","Nalika pasamuwan, mung Sinta sing nggawe pagelaran wayang lan njenengi pitakonan dalang","Nanging, Darto njaluk supaya tirtha dibagi rata",Darto nampa penghargaan minangka peserta paling apik
Fio kedah milu ing pasarean ing désa,Fio dadi korban tindakan bélédégoran,"Fio dadi lurah, sing dadi pelaku, nampa ukuman saka désa",Fio nglanggar paugeran désa,Fio dudu warga désa sing mung pasrah,Fio manut nalika tindakan bélédégoran dumadi
Dina iki SMA Harapan nampa siswa saka program pertukaran siswa saka Pondok Pesantren,"Ijol-ijolan mahasiswa iki mung suwene seminggu, nanging wis akrab kaya sedulur",Mahasiswa program pertukaran mahasiswa iki asale saka Yogyakarta,Siswa pertukaran ora bisa basa Jawi,Untunge bisa sesambungan nganggo basa Indonesia sanajan ora lancar,"Siswa ijol-ijolan kepengin mulih ing dina iku, nanging wis krasan karo budaya Jawa"
Januko wis sinau ngibadiah wiwit umur 5 taun.,Januko nduweni potensi kang luar biasa.,Guru agamane ngerti hal iki lan ndhukung Januko kanggo melu macem-macem kompetisi ngibadiah.,Januko kerep dadi kampiun.,Januko gedhene seneng ngibadiah lan duwe cita-cita dadi ulama.,Januko tansaya seneng main sepak bola.
Gibran krasa abot.,Dheweke dadi siji-sijine wakil saka sekolah sing melu Olimpiade Fisika Provinsi Jawa Tengah.,"Mesthine sekolah ngarep-arep supaya Gibran bisa lolos, malah dadi juara, ing tingkat nasional, kaya wayang kulit ing Purworejo.","Nanging Gibran terus mikir kepriye anggone ora percaya marang awake dhewe, kaya wong sing lagi njaga gunung Lawu.","Pak Anta, guru pendampinge Gibran, ngerti rasa kuwatire Gibran, banjur nyoba nenangake dheweke, kaya wong sing lagi njagani wayang.","Pak Anta, guru pendampinge Gibran, ora seneng karo Gibran, kaya bupati sing lagi marah."
Cokki gembira pasang sandal Jepitne,Ngarep sandal Jepit mbukak amba kaya kembang,Sandal Jepit Cokki wis patah,Bolongan sing maune cilik mung saya gedhe amarga Sandal Jepit nggores lantai keramik,Iki kedadeyan amarga Cokki tiba nalika mlaku nalika kelas olahraga di Lapangan Sragen,Iki kedadeyan amarga Cokki ngguyu banter ingkang kadosipun
Marsel kondhang minangka bocah sing ora mandheg anggone ngomong banter.,"Ing sawijining dina, Marsel ora tumindak kaya biasane nalika arep mlebu kelas.",Anto takon marang Marsel yen ana apa-apa pas wayah jam istirahat.,"Ujug-ujug Marsel nyanyi Selamat Ulang Tahun, disusul kanca-kancane Anto sing teka nggawa kue lapis.","Anto jengkel Marsel sinambi ngguyu, amarga kabeh mau kedadeyan nalika guru pelajaran pungkasan durung metu saka kelas.",Anto ngajak Marsel pindah sekolah.
Saben dina Mamat masak kanggo kulawargane ing omah,Ebine tansah sibuk nggarap pagawean ing sawah,Dene kangmase ora seneng panganan cepet kaya krupuk,Biasane Mamat masak sing sederhana kaya gudeg,Dheweke paling kerep masak gudeg lan sate klathak,Masak nganggo anglo luwih tradhisional tinimbang kompor gas
Sapunika muput Acha panik.,Acha kuwatir karo kahanane Romo.,"Krungu lelembute Ibu katon ing telpon, Acha tambah kuwatir.",Acha uga bingung golek dhuwit kanggo biaya operasi Romo.,Papelaran antarane Arta lan Wendy sing lungguh ing ngarepe babagan dhuwit sing diklumpukake ing kelas menehi ide marang Acha.,Obrolan Arta lan Wendy gawe Acha ngantuk.
Nevan seneng kain batik,Kain batik kanggo upacara adat padha karo motif sing disenengi Nevan,Nevan ora seneng kain polos,Bapak Nevan makai kain polos,Kain batik kanggo upacara adat motif Nevan,Nevan seneng karo kain sing dipakai bapake
Wina ngethok rambute dhewe sing luwih dawa tinimbang biasane.,Rambute Wina sing dawa mburi saiki wis ilang.,Wina katon beda karo potongan rambut dawa gulu ditambah poni lurus ing ndhuwur alis.,Wina wis suwe pengin nyoba gaya rambut cendhak kanthi poni.,Mung saiki Winda duwe keberanian nyatane.,Mung saiki Wina arep menyang salon kanggo cukur rambut.
"Sawise rama lunga, ibu dadi tiang punggung kulawarga",Dheweke kudu nglakoni wajah lan tindak,Kulo pancen pengin mbiyantu,Nanging Ibu kandha yen tugasku sinau lan nggayuh lulusan,Kulo sinau kanthi serius lan nggayuh lulusan,Ibuku dhawuh supaya kulo mandheg sekolah lan mung nglakoni pagawean
Nala kepengin duwe kulawarga sing rukun kaya déné wayang kulit,Nala ora seneng karo kahanan keluargane saiki amarga kalah waton,Nala mung krungu wong tuwane padu saben dina ngebaki lalakon,Nala kepengin metu saka omahe kanggo mèlu grebèg Maulid Nabi,Nala duwe kulawarga sing ora bisa digunakake kaya déné wayang yang pecah,Bapak lan ibune Nala tresna-tinresnan kaya déné Rama lan Shinta
Alta bisa mbedakake werna abang kados werna bungur ing wayang kulit,Alta wis nandhang kelainan indra paningal wiwit cilik nalika ndelok reog ponorogo,Alta sedhih amarga kelainan sing dialami ing wayang wong,Alta ora bisa ndeleng warna kanthi jelas ing gambar batik,Alta nandhang wuta warna sing khas Jawa,Alta minangka seniman batik sing ngerti macem-macem motif
Sapa sing ora kenal karo Ki Hajar Dewantara,Piyambakipun kalebet salah satunggaling pahlawan nasional ingkang misuwur ing Jawa,Piyambakipun sampun ngadegaken Taman Siswa kangge mbina pendidikan ing Jawa,"Contone, sekolah-sekolah Taman Siswa ngembangaken budaya Jawa",Semangat Ki Hajar Dewantara disenengi dening akeh warga Jawa,Bocah-bocah ora seneng karo ajaran Ki Hajar Dewantara
Hana nemu seserahan,Hana nampa surat,Hana nemokake blangkon sing diwenehake dheweke,Hana ora ngerti sapa sing menehi kabeh barang,Hana duwe pengagum rahasia,Hana mbok coklat saka pasar
