topic,kalimat_1,kalimat_2,kalimat_3,kalimat_4,correct_ending,incorrect_ending
Wedding,Wisatawan asing teka ing pesta rabi Kinan lan Dika,Wong-wong iki pengin nyumurupi adat rabi Jawa,Dheweke kagum karo busana lan upacara tradisional,Wong-wong iki njupuk foto lan video kanggo kenang-kenangan,Wisatawan iki nambah pengetahuan babagan budaya Jawa.,Wisatawan iki ora peduli karo budayane.
Wedding,"Sawise pesta rabi, Kinan lan Dika tindak ngunjungi omah-omah sedulur",Wong loro iki nggawa oleh-oleh kanggo sedulur-sedulure,"Iki minangka tradisi ""ngunduh mantu"" ing budaya Jawa",Keluarga sedulur nyambut kanthi hangat lan ramah,Kinan lan Dika ngrasa tambah cedhak karo keluarga.,Tradisi iki ora nduweni makna apa-apa kanggo Kinan lan Dika.
Wedding,"Dina iki, Sari lan Budi bakal rabi",Upacara pernikahane digelar ing omah gedhe keluarga Sari,Para tamu wis padha teka lan ngagem busana adat Javanese,Sari lan Budi nganggo kebaya lan beskap,Keluarga Budi lan Sari kerjo bareng nyiapake pesta.,Sari lan Budi lali nggawa undhangan kanggo tamu.
Wedding,"Saben pasangan sing rabi, ana tradisi siraman sadurunge upacara",Tradisi iki kanggo nyuceni penganten lan ngusir energi negatif,Banyu siraman diambil saka tujuh sumber mata air,Penganten uga diwenehi kembang telon,Tradisi iki dipercaya bisa ndadekake urip penganten luwih seneng.,Penganten ora melu tradisi iki amarga ora penting.
Wedding,"Wektu pesta, ana tradisi lempar kembang",Tradisi iki ngarep-arep supaya sing nangkep kembang bisa cepet ketemu jodho,Kembang kasebut biasane diuncalake dening penganten wadon,Tamu-tamu padha rebutan nangkep kembang kasebut,Kembang kasebut ditangkap dening adik penganten.,Kembang kasebut dibuwang amarga ora ana sing gelem nangkep.
Wedding,"Ing pernikahan Javanese, ana tradisi panggih",Tradisi iki nalika penganten papat mata pisanan sawisé upacara siraman,Penganten lanang bakal nginjak telur lan penganten wadon bakal ngumbah sikilé,Iki minangka simbol pengabdian lan kebersihan,Tradisi panggih nglambangake wiwitan urip anyar bebarengan.,Tradisi panggih ora dilakoni amarga ora dibutuhake.
Wedding,"Sawisé upacara pernikahan, ana tradisi kirab pengantin",Penganten diarak keliling kampung,Keluarga lan tetangga ngiringi karo musik gamelan,Arak-arakan iki dadi ajang silaturahmi lan doa restu,Kirab pengantin nglambangake kebersamaan lan gotong royong.,Kirab pengantin ora dilakoni amarga penganten isin.
Wedding,Makanan ing pesta pernikahan Javanese biasane tradisional,"Ana tumpeng, sate, jenang, lan wedang jahe",Para tamu padha ngantri njupuk panganan,Makanan iki disiapake dening keluarga lan warga sekitar,Makanan tradisional iki nglambangake rasa syukur lan kebersamaan.,Makanan iki ora disiapake amarga ora disukai tamu.
Wedding,Sinta lan Raka lagi siyap-siyap kanggo pesta pernikahan,Wong tuwane Sinta nyiapake seserahan adat Javanese,Raka nganggo busana pengantin Jawa sing lengkap,Sinta uga nganggo kebaya kanthi aksesoris tradisional,Pesta pernikahane dadi lancar lan meriah.,Wong tuwane Raka ora setuju karo pernikahan iki.
Wedding,"Dina iki, keluarga Budi nganakake upacara siraman kanggo calon pengantin",Siraman iki minangka lambang penyucian diri sadurunge pesta pernikahan,Kabeh anggota keluarga padha mbantu nyiapake,Budi rumangsa seneng lan bersemangat,Budi lan calon pengantine rumangsa siap kanggo esuk.,Budi ora gelem melu upacara iki.
Wedding,"Waktu pesta pernikahan, tamu-tamu padha teka nganggo busana rapi",Para tamu diundang kanggo nyakseni akad nikah ing pendopo desa,Wong-wong padha mangan ing resepsi sing akeh panganan khas Jawa,Pengantin lan tamu padha nyanyi lan nari bebarengan,Pesta pernikahan iki bakal dieling-elingi kabeh wong.,Para tamu ora seneng karo acara iki.
Wedding,"Saliyané seserahan, keluarga pengantin uga nyiapake bingkisan kanggo para tamu",Bingkisan iki diisi karo panganan tradisional lan kue khas Jawa,Wong-wong padha seneng nampa bingkisan iki,Bingkisan iki minangka lambang rasa syukur lan terima kasih,Para tamu malah tambah seneng karo pesta iki.,Bingkisan iki malah ora disenengi para tamu.
Wedding,"Sakwise pesta pernikahan, pasangan pengantin diajak tetanen",Tetanen iki minangka simbol kerukunan lan kerja keras bebarengan,Para tetangga uga mèlu ndhukung lan nulung,Pengantin rumangsa syukur lan bersemangat ngadhepi urip anyar,Pengantin lan tetangga dadi luwih akrab lan rukun.,Pengantin ora pengin melu tetanen.
Wedding,"Sajroning pesta pernikahan, ana adat sungkeman",Pengantin sungkem marang wong tuwane kanthi rasa hormat,Wong tuwa mberkahi lan mendoakan kebahagiaan pengantin,Adegan iki ngadhepi rasa haru lan tangis,Pengantin lan wong tuwa rumangsa luwih cedhak lan tresna.,Wong tuwa ora gelem mberkahi pengantin.
Wedding,Raka lan Mila bakal rabi ing desa,Kabeh warga desa siap mbiyantu,Raka arep nganggo beskap lan blangkon,Mila bakal nganggo kebaya lan sanggul,Pesta rabi digelar ing alun-alun desa.,Raka lan Mila rabi ing kutha gedhe.
Wedding,Kanca-kanca Mila teka kanthi bingkisan,Ana sing nggawa jajanan tradisional,Ana sing nggawa kain batik,Mila seneng banget karo kabeh bingkisan,Mila menehi bingkisan marang para tamu.,Mila ora tuku bingkisan kanggo para tamu.
Wedding,Resepsi rabi diwiwiti kanthi tarian tradisional,Para tamu nonton kanthi kagum,Tarian diiringi gamelan Jawa,Kabeh wong seneng,Resepsi ditutup karo kenduren.,Para tamu ora seneng karo tarian.
Wedding,"Sakwise resepsi, Raka lan Mila sowan marang para pinisepuh",Wong tuwa lan sesepuh menehi pitutur lan berkah,Kabeh wong nyengkuyung rabi sing bahagia,Raka lan Mila krasa diayomi,Raka lan Mila nindakake upacara siraman.,Raka lan Mila langsung mulih tanpa sowan.
Wedding,"Dina sadurunge rabi, Mila nindakake adat siraman",Siraman dilakukan ing omah wong tuwane,Mila dirawuhi dening para kanca lan kulawarga,Mila krasa seger lan suci,Mila nganggo kebaya putih kanggo siraman.,Mila ora nindakake adat siraman.
Wedding,Pesta rabi Raka lan Mila diiringi gamelan,Gamelan diputer dening para seniman desa,Suasana dadi meriah lan sakral,Para tamu nari lan nyanyi bareng,Gamelan diiringi tembang-tembang Jawa.,Gamelan ora diputer ing pesta rabi.
Wedding,Adi lan Sari arep rabi ing desa,Adi wis nyiapake pakaian adat Jawi,Sari uga nyiapake kebaya sing apik banget,Wong sak desa padha nunggu-nunggu pesta iki,Wong desa padha teka lan ndonga kanggo Adi lan Sari.,Wong desa ora gelem rawuh ing pesta Adi lan Sari.
Wedding,Pesta pernikahan Ana lan Budi diadani ing omah gedhe Budi,Wong-wong padha ngumpul kanggo mangan lan nyanyi bareng,Ana lan Budi nganggo pakaian adat sing apik banget,Ana lan Budi nampa akeh bingkisan saking tamu,Ana lan Budi matur nuwun marang kabeh tamu sing teka.,Ana lan Budi ora peduli karo tamu sing teka.
Wedding,Dina rabi Arif lan Rina diadani upacara siraman,Upacara iki dianakake ing omah Arif,Wong tuwa lan sedulur padha melu upacara iki,Siraman iki minangka simbol kanggo ngresiki jiwa lan raga sadurunge pesta,Arif lan Rina ngrasa luwih siap lan suci sawise upacara siraman.,Arif lan Rina ora seneng karo upacara siraman iki.
Wedding,Hari pernikahan Wisnu lan Rini wis teka,Keluarga lan tamu-tamu padha rawuh,Wisnu nganggo busana adat Jawi lan Rini nganggo kebaya,Pesta diadani ing pendopo desa,Pesta pernikahan Wisnu lan Rini dadi meriah lan sukses.,Keluarga lan tamu-tamu ora seneng karo pesta pernikahan Wisnu lan Rini.
Wedding,Keluarga Ningsih lan Slamet lagi nyiapake pesta midodareni,Midodareni minangka tradisi kanggo ngucapake salam sadurunge rabi,Wong sak kampung padha melu nyiapake panganan lan dekorasi,Ningsih lan Slamet padha seneng banget,Pesta midodareni dadi acara sing apik lan ngugemi tradisi.,Wong sak kampung ora gelem mbantu nyiapake pesta midodareni.
Wedding,Dina pesta pernikahan Eko lan Rita wis teka,Wong-wong padha teka nganggo busana adat,Ana gendhing Jawa lan tari-tarian tradisional,Panganan khas Jawa disajikake kanggo para tamu,Wong-wong padha seneng lan puas karo pesta pernikahan Eko lan Rita.,Wong-wong ora seneng lan ora puas karo pesta pernikahan Eko lan Rita.
Wedding,Siti lan Budi padha-padha seneng tradisi manten Javanese,Siti seneng nganggo kebaya lan Budi nganggo beskap,"Sajrone upacara, ana ritual siraman kang dadi pangarep-arep",Siti lan Budi ngarep-arep yen pernikahane bakal berkah,Keluargane bangga karo acara pernikahan sing apik iki.,Siti lan Budi ora seneng karo tradisi iki.
Wedding,Dwi lan Yuni wis siyap kanggo acara midodareni,Acara iki diadani ing omahe Dwi,Keluarga Yuni teka karo akeh panganan tradisional,Midodareni dadi acara sing rame banget,Keluarga loro-lorone tambah akrab lan rukun.,Dwi lan Yuni ora seneng karo midodareni kasebut.
Wedding,Dina pernikahan Rahma lan Andi teka,Wong-wong padha kumpul ing pendopo desa kanggo ngrayakake,Rahma nganggo busana adat Jawa sing megah lan Andi nganggo beskap,Wong-wong padha gumbira lan ngaturake berkah,Pernikahan Rahma lan Andi dadi conto apik kanggo warga desa.,Acara pernikahan iki ora disenengi warga desa.
Wedding,Sari lan Danu arep ngundang akeh tamu ing pernikahane,Tamu-tamu bakal padha teka saka adoh,Sari nyiapake oleh-oleh tradisional kanggo para tamu,Danu ngatur panggonan supaya tamu-tamu bisa nyaman,Kabeh tamu seneng lan muji ramah tamah Sari lan Danu.,Tamu-tamu ora srawung karo Sari lan Danu.
Wedding,Yuni lan Bimo ngatur pernikahan ing kebon sing indah,Kabeh tamu padha kagum karo panggonan sing apik,Yuni milih dekorasi tradisional Jawa kanggo acara iki,Bimo setuju karo pilihan Yuni,Pernikahan mau dadi acara sing ora bisa dilalekake.,Yuni lan Bimo ora seneng karo dekorasi kasebut.
Wedding,Rina lan Budi lagi siap-siap nikah,Wong tuwa Budi nyiapake seserahan kanggo keluarga Rina,Tradisi iki penting banget kanggo nguatake hubungan antar keluarga,Seserahan iki kalebu panganan tradisional lan sandhangan adat,Seserahan kasebut diterima kanthi seneng dening keluarga Rina.,Wong tuwa Budi lali nggawa seserahan.
Wedding,Siti lan Agus lagi nyiapake undangan kanggo pernikahan,Wong siji kutha diajak rawuh,Upacara bakal dianakake ing omah adat,Wong tuwa Siti ngatur kabeh persiapan,Wong-wong sing diundang teka lan melu ngrayakake.,Wong tuwa Siti ora ngatur persiapan.
Wedding,"Dina rabi, Sari nganggo kebaya abang sing apik banget","Riko, calon bojone, nganggo beskap lengkap",Upacara adat dianakake ing pendhapa desa,Para tamu ngancani kanthi pakaian tradisional,Upacara berlangsung kanthi khidmat lan lancar.,Sari lan Riko nganggo sandhangan modern.
Wedding,Keluarga Arif nyiapake kenduri kanggo rabi anak mbarepne,Kenduri iki minangka salah siji tradisi penting ing desa,Wong sak kampung diajak melu,Panganan tradisional disiapake kanggo kabeh tamu,Kabeh tamu seneng lan mangan bareng-bareng.,Keluarga Arif ora nyiapake panganan.
Wedding,Dini lan Eko lagi nyiapake sesajen kanggo upacara pernikahan,Sesajen iki penting banget kanggo njaluk restu marang leluhur,Wong tuwa Dini lan Eko mbantu nyiapake,Kabeh kudu ditata kanthi rapi,Sesajen diatur karo apik lan upacara lumaku lancar.,Sesajen ora penting ing upacara kasebut.
Wedding,"Sore iku, keluarga besar Retno lan Adi kumpul ing omah",Wong-wong padha nyiapake pesta pernikahan sing bakal dianakake esuk,Panganan tradisional lan dekorasi wis disiapake,Wong-wong padha nyambut gawe bebarengan,Pesta pernikahan dadi meriah lan lancar.,Keluarga Retno lan Adi ora kumpul ing omah.
Wedding,Andi lan Sari lagi nyiapake pernikahan adat Jawa,"Ing pernikahan adat Jawa, ana prosesi siraman kanggo ngresiki raga lan jiwa",Wong tuwa lan sanak keluarga sing luwih sepuh melu nyiram banyu suci,Andi lan Sari ngrasa seneng lan terhormat,Wong tuwa Andi lan Sari nindakake wilujengan kanggo nyuwun berkah.,Wong tuwa Andi lan Sari malah ora melu siraman.
Wedding,Dina pernikahan Rina lan Budi wis teka,Rina nganggo kebaya warna putih lan Budi nganggo beskap Jawa,Kabeh tamu undhangan padha teka nganggo busana adat,Pesta pernikahan digelar ing pendopo desa,Pesta ditutup karo tarian tradisional Jawa.,Tamu-tamu padha ninggalake acara luwih awal.
Wedding,Sasi Suro iku wektu sing keramat ing budaya Jawa,"Oleh sebab iku, pernikahan Ora dianjurake nalika sasi Suro",Ana pasangan sing tetap kepengin nikah ing sasi Suro amarga kapetung dina apik,Keluarga lan tetangga padha ngelingake,Pasangan kasebut milih nundha pernikahane.,Pasangan kasebut tetep nikah lan ora ana masalah.
Wedding,Sugeng lan Ayu lagi nyiapake seserahan kanggo pernikahane,Seserahan iku simbol tanggung jawab lan komitmen,Sugeng ora pengin ana sing kurang,Wong tuwa Sugeng mbantu milih barang-barang,Seserahan diatur apik lan lengkap.,Seserahan ilang amarga kelalen.
Wedding,Ana tradisi midodareni ing adat Jawa,Midodareni yaiku malam sebelum pernikahan di mana keluarga pengantin wanita menyiapkan segala sesuatunya,Keluarga Ayu nyiapake panganan khas Jawa,Kabeh anggota keluarga padha melu,Ayu lan keluargane ngatur acara kanthi sukses.,Keluarga Ayu ora ngatur acara midodareni.
Wedding,Panggih iku prosesi penting ing adat Jawa,Panggih yaiku pertemuan pertama pengantin pria lan wanita sawise upacara ijab kabul,"Ing prosesi iki, pengantin wanita duwe tugas mijet kaki pengantin pria",Iki simbol kesetiaan lan bakti,Panggih berlangsung lancar lan khidmat.,Pengantin wanita ora melu prosesi panggih.
Wedding,Rina lan Budi arep nikah minggu ngarep,Wong tuwane wis nyiapake tradisi siraman,Siraman bakal dianakake ing omahe Budi,Rina lan Budi kudu mlebu ing banyu kembang,Rina lan Budi ora melu siraman.,Rina lan Budi seneng banget karo siraman.
Wedding,Dina resepsi wis teka,Rina nganggo kebaya kraton,Budi nganggo beskap lengkap,Para tamu wis padha teka lan njupuk panganan,Panganan habis lan tamu ora puas.,Rina lan Budi seneng karo pesta kasebut.
Wedding,"Ing desa, ana tradisi kacar-kucur sawise upacara pernikahan",Penganten pria bakal ngisi karung cilik karo beras lan dhuwit receh,Penganten wanita bakal nampa karung kasebut,Iki minangka simbol kesejahteraan lan rejeki,Penganten wanita ora ngisi karung cilik.,Karung cilik kebak beras lan dhuwit receh.
Wedding,Upacara panggih bakal dianakake sawise akad nikah,Penganten bakal saling lempar sirih,Iki minangka simbol cinta lan harmoni,Upacara iki dianakake ing halaman omah,Penganten ora padha lempar sirih.,Panggih dadi upacara sing apik.
Wedding,Sate maranggi dadi salah siji panganan sing paling dinanti ing pesta,Wong-wong padha ngantri kanggo njupuk,Rasane sing khas lan endah nggawe tamu kepengin nambah,Sate maranggi dihidangke karo lontong lan sambel,Sate maranggi ora disiapake ing pesta.,Wong-wong padha wareg karo makanan iki.
Wedding,Upacara adat langkahan dianakake yen ana saudara sing luwih tuwa durung nikah,Penganten kudu ngliwati bangku sing diisi beras lan kembang,Iki minangka simbol permohonan izin lan restu,Upacara iki penting kanggo harmonisasi hubungan keluarga,Upacara adat langkahan ora dianakake.,Saudara luwih tuwa seneng banget karo upacara iki.
Wedding,Niken lagi ngrancang acara mantenan,Keluargane Niken nglumpuk kanggo mbantu persiapan,Niken nggoleki busana pengantin tradisional Jawa,Niken milih kebaya lan batik kanggo mantenan,Niken lan pasangane nari beksan manten.,Keluargane Niken ora seneng karo pilihan busanane.
Wedding,Anang lan Dewi lagi nindakake upacara siraman,Keluargane padha ngumpul lan ndedonga,Siraman iku simbolis kanggo ngresiki jiwa lan raga,Anang lan Dewi banjur nindakake upacara midodareni,Midodareni dadi acara sing khidmat lan sakral.,Keluargane ora setuju karo upacara siraman.
Wedding,Budi lan Sari ngundang tamu akeh kanggo acara mantenane,Tamu-tamune padha teka nganggo busana tradisional,Budi lan Sari nyiapake seserahan kanggo tamu-tamune,Seserahane kalebu panganan khas Jawa lan oleh-oleh,Tamu-tamu padha seneng lan ngucapke selamat marang pengantin.,Tamu-tamu ora seneng karo panganan sing disajikake.
Wedding,Rina lan Adi milih lokasi mantenan ing pendopo desa,Pendopo dihias nganggo janur lan kembang,Keluargane Rina lan Adi padha mbiyantu persiapan,Adi kaget ndeleng pendopo sing wis dihias apik banget,Acara mantenan dadi lancar lan meriah.,Keluargane Adi ora seneng karo lokasi mantenane.
Wedding,"Sebelum acara mantenan, Rini lan Eko nindakake upacara seserahan","Seserahane kalebu sembako, pakaian, lan perhiasan",Upacara seserahan iku simbolis kanggo tanggung jawab lan saling menghormati,Keluargane Rini lan Eko padha ngumpul lan ndedonga,Upacara seserahan dadi momen sing sakral lan khidmat.,Keluargane Rini ora setuju karo isi seserahane.
Wedding,"Dina mantenane, Sinta nganggo kebaya lan dodot",Dodot iku busana tradisional Jawa sing kental maknane,Sinta uga nganggo siger lan aksesoris kembang melati,Kabeh tamu kagum karo penampilan Sinta,Acara mantenan dadi lancar lan apik.,Sinta ora seneng nganggo busana tradisional.
Wedding,Dewi lan Arif lagi siap-siap kanggo acara mantenan,Keluargane Dewi wis nyiapake seserahan lan lamaran,Keluargane Arif nyiapake kembul bujana,Wong sak desa diajak kanggo rawuh ing pesta mantenan iki,Dewi lan Arif nindakake upacara siraman minangka simbol suci.,Dewi lan Arif mung ngundang sedulur deket kanggo pesta.
Wedding,Sari lan Budi lagi nyiapake mantenan ing omah tradhisi Jawa,Sari nganggo kebaya lan Budi nganggo beskap,Wong tuwa Sari nyiapake sesaji lan kembang telon,Para tamu teka nganggo batik lan nyumbang songgolan,Sari lan Budi nindakake upacara panggih karo penuh rasa syukur.,Sari lan Budi ora peduli karo tradisi lan adat Jawa.
Wedding,Dian lan Raka nindakake upacara midodareni sadurunge pesta mantenan,Sedulur lan kanca-kanca padha teka kanggo nyengkuyung,Ibu Dian nggawe jenang abang lan putih kanggo acara,Raka menehi kado emas kanggo Dian minangka lambang katresnan,Dian lan Raka nindakake upacara sungkeman karo wong tuwa.,Dian lan Raka mutusake kanggo ora ngundang kanca-kanca.
Wedding,Rini lan Bagas arep nikah ing akhir minggu iki,Mereka milih adat Jawa kanggo upacarane,Rini nganggo kebaya lan Bagas nganggo beskap,Keluargane lan tamu undangan padha teka,Upacara pernikahan kasebut dilengkapi karo tarian tradisional.,Upacara pernikahan kasebut dilengkapi karo konser rock.
Wedding,Sinta lan Bayu nyiapake seserahan kanggo pernikahane,Seserahan iki kudu diatur apik lan rapi,Keluarga Sinta ngrayakake siraman sadurunge pernikahan,Bayu lan keluargane teka menyang acara,Sinta lan Bayu ora bisa nahan rasa senenge.,Sinta lan Bayu ora seneng karo seserahane.
Wedding,Ayu milih kebaya kanggo dina pernikahane,Kebaya iki dirancang khusus dening desainer lokal,Ayu uga nyiapake kue-kue tradisional kanggo tamu,Lokasi pernikahan dipilih ing pendopo desa,Tamu undangan seneng banget karo acara iki.,Ayu ora seneng karo kebaya sing dipilih.
Wedding,Rani lan Dani nindakake upacara midodareni sadurunge pernikahan,Upacara iki minangka salah siji tradisi penting,Rani nganggo busana tradisional Jawa,Keluarga Dani nggawa hadiah kanggo keluarga Rani,Upacara midodareni iki dadi kenangan manis kanggo kabeh.,Upacara midodareni iki malah ora diresiki.
Wedding,Eko lan Sari ngatur ngunduh mantu sakwise acara pernikahan,Ngunduh mantu iki dadi kesempatan kanggo kenal-kenal antar keluarga,Sari nganggo kebaya lan Eko nganggo blangkon,Kabeh tamu undangan padha teka kanthi busana tradisional,Eko lan Sari rumangsa syukur lan seneng.,Eko lan Sari ora seneng karo acara iki.
Wedding,Dewi lan Aris nyiapake daharan kanggo pesta pernikahan,"Ana gudangan, opor ayam, lan sate maranggi",Keluarga Dewi arep ngatur sesaji kanggo acara,Aris lan keluargane teka kanggo mbantu persiapan,Pesta pernikahan iki dadi sukses lan meriah.,Dewi lan Aris ora seneng karo menu panganan.
Wedding,Rina lan Budi lagi nyiapake pesta pernikahan,Ibu-ibu tetangga padha gotong royong masak ing pawon,"Ana jenang, tumpeng, lan panganan tradisional liyane",Sing lanang padha nyiapake tarub kanggo resepsi,Pesta pernikahan Rina lan Budi dadi rame lan meriah.,Pesta pernikahan Rina lan Budi ora dianakake.
Wedding,Sekar nyiapake baju manten adat Jawa kanggo pernikahane,Anane kebaya lan blangkon nggawe acara dadi luwih sakral,Keluarga lan tamu undangan padha kagum,Sekar lan pasangan katon ayu lan gagah,Acara pernikahan Sekar lan pasangan dadi pengalaman sing ora bisa dilalekake.,Sekar lan pasangan ora seneng karo busana adat Jawa.
Wedding,Ana tradisi siraman sakdurunge pernikahan,Penganten wanita diiringi para kanca lan kulawarga menyang pancuran,Wong tuwa penganten wanita nyiram banyu kembang marang putrine,Tradisi iki dadi lambang panguripan anyar lan berkah,"Sakwise siraman, penganten wanita rumangsa seger lan siap kanggo pernikahan.",Tradisi siraman ora digatekake dening penganten wanita.
Wedding,Dwi lan Sinta nindakake upacara midodareni,Keluarga lan tamu undangan padha teka ing omah kanggo ndedonga lan nyengkuyung,Ana hiburan klenengan lan tari-tarian tradisional,Sajian panganan khas Jawa uga ora ketinggalan,Upacara midodareni dadi kenangan sing apik kanggo Dwi lan Sinta.,Upacara midodareni ora dianakake amarga ora penting.
Wedding,Adi lan Ana mutusake ngadani pesta pernikahan ing omah joglo,Griya joglo kasebut dihias kanthi janur lan kembang,Para tamu undangan padha teka nganggo busana adat Jawa,Sajian panganan tradisional kaya gudeg lan serabi disuguhake kanggo tamu,Pesta pernikahan ing omah joglo dadi pengalaman sing istimewa kanggo kabeh tamu.,Pesta pernikahan ing omah joglo ora disenengi dening tamu-tamu.
Wedding,Ana tradisi sungkeman sakwise upacara pernikahan,Penganten lan wong tuwa lungguh ing ngarep lan nglakukan sungkem karo penuh rasa hormat,Wong tuwa mberkahi lan mendoakan penganten anyar,Tradisi iki minangka lambang bakti lan rasa syukur,Penganten rumangsa terharu lan bangga bisa nglakoni tradisi iki.,Tradisi sungkeman ditinggalake amarga ora penting.
Wedding,Rina lan Adi lagi nyiapake upacara panggih,Rina nganggo busana tradisional Jawi sing apik banget,Adi uga nganggo beskap lan blangkon minangka lambang budaya Jawi,Para tamu wiwit teka ing omah Rina,Upacara panggih dadi saksi tresna sejati loro-lorone.,Rina lan Adi ora ketemu maneh sawise upacara.
Wedding,Sore iki ana acara midodareni ing omahe Sari,Keluarga lan tetangga padha teka kanggo ndedonga,Sari nganggo kebaya apik karo selendang sutra,Wong tuwane Sari nyiapake panganan tradisional kanggo tamu,Kabeh tamu seneng lan ndedonga kanggo kebahagiaan Sari lan calon suami.,Sari ora gelem nganggo kebaya sing disiapake wong tuwane.
Wedding,Acara ijab qobul bakal diadani ing masjid desa,Bayu lan keluargane wis siap lunga menyang masjid,Bayu nganggo busana Jawi putih sing nggambaraké kesucian,Masjid dihias karo kembang-kembang melati,Bayu ngucapake ijab qobul kanthi lancar lan sakinah.,Ijab qobul dibatalake amarga masjid kebanjiran.
Wedding,Dina iki nyadran ing omah Dini kanggo nyambut manten anyar,Keluarga lan warga desa padha teka nggawa berkat,Dini lan suami lagi didokke ing tengah-tengah acara,Suasana rame lan meriah,Dini lan suami nampa berkah lan doa saka kabeh sing teka.,Dini lan suami mangkat ninggalake acara amarga ora nyaman.
Wedding,Dina akad nikah Fajar lan Nia,Keluarga loro-lorone padha nyiapake kabeh kebutuhan,"Fajar nganggo beskap sing dirancang khusus, lan Nia nganggo kebaya putih",Upacara dilakoni kanthi hikmat,Fajar lan Nia resmi dadi pasangan suami istri lan dirayakake karo keluarga.,Upacara akad nikah dibubarake amarga ana masalah teknis.
Wedding,Malam ini acara resepsi pernikahan Anto lan Rini,Gedung dihias karo ornamen tradisional Jawi,Para tamu padha teka nganggo batik lan kebaya,Anto lan Rini nyambut tamu kanthi senyum bahagia,Acara resepsi berlangsung meriah lan penuh kebahagiaan.,Anto lan Rini ora bisa nyambut tamu amarga kacapean.
Wedding,Sari lan Budi arep nikah,Wong tuwane Sari wis nyiapake seserahan,Budi wis ngajak keluarga besar,Pesta bakal dianakake ing pendopo desa,Pesta kuwi dadi acara paling gedhe ing desa.,Wong tuwane Sari ora setuju karo pesta ing pendopo.
Wedding,Dina pernikahan Dewi lan Anto tekan,Dewi nganggo kebaya putih kanthi jarik batik,Anto nganggo beskap lengkap karo blangkon,Wong-wong padha kagum karo busana penganten,Dewi lan Anto dadi pasangan sing serasi.,Busana penganten ora narik kawigaten tamu.
Wedding,"Sadurunge pesta pernikahan, Ana tradisi siraman",Penganten wanita diiringi kluarga menyang panggonan siraman,Siraman iku simbolisasi panyucian diri,Wong-wong padha nyawer bunga lan kembang setaman,Dewi rumangsa seger sawise upacara siraman.,Dewi ora seneng karo tradisi iki.
Wedding,"Sawise pesta pernikahan, tamu-tamu padha entuk berkat",Berkat iku isine panganan khas Jawa,Tamu-tamu seneng amarga panganane enak lan khas,Wong-wong padha muji masakane,Berkat dadi simbol rasa syukur marang tamu.,Tamu-tamu ora seneng karo berkat sing dikasih.
Wedding,"Jelang pernikahan, ana acara midodareni",Midodareni iku wektu kanggo ngumpulake keluarga lan tetangga,Ana banyak panganan tradisional disiapake,Malem iku suasana dadi rame lan meriah,Midodareni dadi ajang silaturahmi antar keluarga.,Malem midodareni sepi lan ora gayeng.
Wedding,Wong-wong padha nunggu kirab penganten,Kirab diiringi gamelan lan tari-tarian,Penganten lungguh ing jempana sing dihias kembang,Wong-wong padha ngiringi kanthi suka cita,Kirab penganten dadi tontonan sing ditunggu-tunggu.,Wong-wong ora peduli karo kirab penganten.
Wedding,Rina lan Andi arep nikah,Keluarga Rina nyiapake slametan mangan bersama,Andi nyiapake klambi manten tradisional Jawi,Para tamu undangan teka ing lokasi mantenan,Rina lan Andi nyiapake sembako kanggo tamu.,Rina lan Andi lali ngundang tamu.
Wedding,Sinta nyiapake seserahan kanggo manten,Seserahan iku kalebu panganan tradisional,Wong tuwane Sinta melu nyiapake seserahan,Seserahan diatur apik ing tas anyaman,Seserahan digawa menyang omahe calon manten.,Seserahan digawa menyang pasar.
Wedding,Dimas menehi undangan manten marang kanca-kancane,Kanca-kancane seneng lan janji teka,Dimas nyewa gamelan kanggo hiburan,Wong akeh semangat nunggu mantenan,Kanca-kanca Dimas nggawa hadiah kanggo manten.,Kanca-kanca Dimas lali teka.
Wedding,Ayu milih klambi manten adat Jawa,Ibu Ayu mbantu milih aksesoris,Ayu nyoba klambi manten ing salon,Ayu katon ayu banget nganggo klambi iku,Klambi manten iki diwarisake saka mbah putri.,Klambi manten iku ilang ing salon.
Wedding,Rudi nyiapake pesta manten ing omahe,Tenda gedhe dipasang ing halaman,Ibu Rudi masak panganan khas Jawi,Rudi ngundang kabeh tetangga,Tetangga teka lan mangan bareng-bareng.,Tetangga ora teka amarga udan.
Wedding,Lina lan Budi nyiapake acara midodareni,Keluarga Lina nyiapake piranti adat,Keluarga Budi nggawa berkat lan hadiah,Acara midodareni dilakoni ing omahe Lina,Acara midodareni rampung kanthi khidmat.,Lina lan Budi ora dadi nikah.
Wedding,Adi lan Sinta arep nikah ing pendopo desa,Adi lan keluargane nyiapake seserahan sakabehe,Sedulur lan tangga teparo padha nulungi,Bakal ana suguhan tradisional kaya tumpeng lan jenang,Resepsi nikah kasebut dadi acara sing meriah.,Adi lan Sinta ora teka ing acara resepsi.
Wedding,Keluarga Rini nyiapake upacara siraman sadurunge nikah,Rini dirawuhi dening sedulur lan kanca-kancane,Wong-wong padha nyiramake banyu ing Rini kanthi doa,Rini rumangsa seneng lan lega,Rini siap kanggo dina gedhe nikahane.,Rini ora melu upacara siraman.
